state,party,finance.better,child.indep,child.curio,child.obed,child.consid,women.favors,women.comp,women.hire,year,Religion,President
39,3,4,5,5,1,5,2,2,3,2008,Protestant,NA
39,3,5,5,1,1,1,3,2,2,2008,NA,Barack Obama
39,1,5,3,3,3,3,4,1,2,2008,Protestant,Other
39,2,2,5,5,1,1,2,2,2,2008,Protestant,John McCain
39,2,4,5,5,1,3,2,2,2,2008,Protestant,John McCain
39,1,3,5,1,5,1,4,2,1,2008,Protestant,Other
39,2,4,5,3,3,1,5,4,2,2008,Protestant,John McCain
39,NA,3,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
39,3,3,5,5,5,1,3,5,2,2008,NA,Barack Obama
39,3,2,5,5,1,5,5,5,3,2008,NA,NA
39,2,4,5,5,1,5,2,2,3,2008,Protestant,John McCain
39,2,3,5,5,5,5,3,2,3,2008,NA,NA
39,2,4,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
39,2,5,5,5,1,1,3,3,4,2008,NA,John McCain
39,2,4,5,3,1,5,5,2,2,2008,Protestant,John McCain
39,2,3,5,3,3,3,3,2,4,2008,Protestant,John McCain
39,3,3,3,3,3,3,2,4,4,2008,Protestant,John McCain
39,1,4,5,5,1,1,4,2,2,2008,Protestant,Barack Obama
39,2,3,5,5,1,5,3,2,2,2008,Protestant,John McCain
39,1,5,5,5,1,5,5,5,4,2008,Protestant,Barack Obama
39,1,5,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
39,1,3,5,5,1,1,1,2,3,2008,Protestant,Barack Obama
39,1,5,5,5,5,1,5,5,1,2008,NA,Barack Obama
39,1,2,5,5,1,5,5,5,1,2008,Protestant,NA
39,1,3,5,5,1,3,2,2,2,2008,NA,Barack Obama
39,3,1,3,3,3,3,4,1,1,2008,Catholic,John McCain
39,1,1,5,5,1,1,4,4,1,2008,Protestant,Barack Obama
39,1,3,5,5,5,1,5,2,1,2008,Protestant,John McCain
39,3,5,5,5,5,1,1,3,2,2008,Protestant,NA
39,1,4,5,5,1,5,5,5,2,2008,Protestant,Barack Obama
39,1,5,5,1,5,1,5,2,1,2008,Catholic,Barack Obama
39,1,3,5,5,1,5,5,5,1,2008,Protestant,Barack Obama
39,1,4,5,5,1,1,2,4,1,2008,Catholic,Barack Obama
39,3,4,5,5,1,1,5,2,2,2008,Protestant,Barack Obama
39,3,5,5,5,1,1,5,5,1,2008,Protestant,NA
39,2,1,5,5,1,1,4,4,2,2008,NA,John McCain
39,3,4,5,5,5,1,2,2,2,2008,NA,NA
39,3,4,5,1,5,5,3,4,4,2008,Protestant,John McCain
39,3,2,1,5,1,5,2,4,3,2008,Catholic,NA
39,1,3,5,5,1,5,2,2,1,2008,Catholic,Barack Obama
39,3,1,5,3,5,5,2,3,4,2008,Protestant,Other
39,2,5,5,5,1,5,2,3,3,2008,Protestant,John McCain
39,2,2,5,3,3,3,1,1,5,2008,Catholic,John McCain
39,3,4,5,5,5,5,3,1,2,2008,Protestant,John McCain
39,3,4,1,5,1,1,3,5,5,2008,NA,John McCain
39,1,4,5,5,5,1,3,5,1,2008,Protestant,Barack Obama
39,1,4,5,3,1,3,5,1,4,2008,Protestant,Barack Obama
39,2,2,5,1,5,1,3,4,2,2008,NA,John McCain
39,1,4,5,5,5,5,2,2,1,2008,Protestant,Barack Obama
39,2,5,5,5,1,1,5,5,1,2008,Protestant,John McCain
39,3,5,5,5,1,5,5,3,2,2008,Protestant,Barack Obama
39,1,4,5,5,1,1,5,5,5,2008,NA,NA
39,1,4,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
39,2,5,1,1,5,5,3,4,4,2008,NA,John McCain
39,1,1,5,5,5,1,5,4,2,2008,Protestant,Barack Obama
39,2,2,5,5,1,5,4,3,2,2008,Protestant,John McCain
40,1,5,5,5,1,5,1,4,1,2008,Protestant,Barack Obama
40,1,5,5,5,1,1,1,3,2,2008,Protestant,Barack Obama
40,1,4,5,5,1,5,5,5,2,2008,Protestant,Barack Obama
40,1,4,5,5,5,5,5,5,3,2008,NA,Barack Obama
40,1,4,5,5,1,5,2,2,1,2008,Protestant,Barack Obama
40,1,3,5,5,1,1,1,2,1,2008,Protestant,Barack Obama
40,1,4,3,3,3,1,2,1,1,2008,Protestant,Barack Obama
40,1,4,5,5,1,5,2,2,2,2008,Catholic,Barack Obama
40,1,3,5,5,1,1,4,4,3,2008,Protestant,Barack Obama
40,1,2,3,5,1,3,4,3,2,2008,Protestant,Barack Obama
40,1,4,5,5,1,5,2,2,1,2008,Protestant,Barack Obama
40,1,2,5,5,1,5,2,2,1,2008,Protestant,NA
40,3,3,1,1,1,1,5,4,2,2008,Protestant,Barack Obama
40,1,1,5,5,1,5,1,2,2,2008,NA,Barack Obama
40,1,3,5,5,1,5,2,2,2,2008,Protestant,Barack Obama
40,1,5,5,5,1,5,2,2,3,2008,Protestant,Barack Obama
40,3,2,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
40,5,1,5,5,5,5,3,2,2,2008,NA,NA
40,1,2,5,5,1,5,3,3,2,2008,Protestant,Barack Obama
40,3,4,5,5,5,1,2,2,5,2008,Protestant,Barack Obama
40,1,4,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
40,1,3,5,5,1,1,3,2,1,2008,Protestant,Barack Obama
40,1,1,5,5,1,5,4,NA,1,2008,Protestant,Barack Obama
40,1,5,5,5,1,5,3,5,2,2008,Protestant,Barack Obama
40,3,5,5,5,1,1,5,4,1,2008,Catholic,Barack Obama
40,3,2,5,5,1,5,5,4,2,2008,Protestant,John McCain
40,1,5,5,5,1,5,5,4,1,2008,Protestant,Barack Obama
40,2,3,5,5,5,1,4,4,5,2008,Protestant,NA
40,5,2,5,5,5,3,4,5,2,2008,NA,John McCain
40,2,2,1,1,5,1,5,5,2,2008,Catholic,Barack Obama
40,2,2,5,5,1,3,2,3,4,2008,Protestant,Barack Obama
40,3,1,5,5,1,1,5,3,2,2008,Protestant,John McCain
40,2,2,5,5,5,5,1,5,1,2008,NA,John McCain
40,3,4,5,1,1,1,5,5,2,2008,Protestant,NA
40,1,4,1,5,5,1,3,3,2,2008,Catholic,John McCain
40,1,3,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
41,1,3,3,3,3,3,4,2,1,2008,Protestant,NA
41,3,2,1,5,5,5,5,5,4,2008,Protestant,Barack Obama
41,1,5,1,1,5,1,5,5,2,2008,NA,Barack Obama
41,1,5,1,3,3,3,5,5,1,2008,NA,Barack Obama
41,1,5,5,3,3,3,3,5,2,2008,Catholic,Barack Obama
41,2,3,5,5,1,5,3,3,4,2008,Protestant,John McCain
41,1,2,5,5,5,1,5,4,2,2008,Protestant,NA
41,1,4,5,5,5,1,3,2,2,2008,NA,Barack Obama
41,1,4,1,1,5,1,5,5,1,2008,Jewish,Barack Obama
41,3,2,5,5,1,1,3,3,2,2008,Protestant,John McCain
41,1,4,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
41,2,NA,5,1,5,1,3,4,2,2008,Protestant,John McCain
41,2,2,1,1,3,1,2,3,3,2008,Protestant,John McCain
41,3,4,5,5,1,1,2,2,3,2008,Protestant,Barack Obama
41,3,4,NA,NA,NA,NA,NA,NA,NA,2008,Catholic,NA
41,1,3,5,1,1,1,5,2,2,2008,Catholic,NA
41,3,5,5,5,5,1,5,4,1,2008,Protestant,Barack Obama
41,1,5,5,1,5,1,2,2,2,2008,Catholic,Barack Obama
41,3,3,5,3,1,5,1,3,1,2008,Catholic,NA
41,3,2,1,1,5,1,5,5,4,2008,Protestant,Barack Obama
41,1,3,1,1,5,1,4,4,3,2008,Catholic,Barack Obama
41,1,4,5,5,1,5,3,3,2,2008,Catholic,Barack Obama
41,1,5,5,1,5,1,5,4,1,2008,Catholic,John McCain
41,2,3,5,5,1,1,3,4,3,2008,Protestant,John McCain
41,1,4,1,1,5,1,5,5,2,2008,Catholic,Barack Obama
41,1,5,5,5,1,5,5,4,1,2008,NA,Barack Obama
41,1,5,5,5,1,1,5,2,1,2008,Catholic,Barack Obama
42,1,2,5,5,5,1,5,4,1,2008,Protestant,Barack Obama
42,3,2,1,5,5,1,3,4,2,2008,Catholic,NA
42,3,3,3,3,3,3,4,5,2,2008,Catholic,NA
42,5,2,5,5,1,1,3,2,2,2008,Protestant,NA
42,1,2,5,1,5,1,1,4,2,2008,Protestant,Barack Obama
42,5,4,5,1,5,1,5,5,4,2008,NA,NA
42,1,2,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
42,3,2,5,5,1,5,2,4,1,2008,Other Religion,NA
42,1,5,5,5,5,5,4,5,2,2008,Protestant,NA
42,3,4,5,5,1,5,2,4,1,2008,Protestant,NA
42,1,4,5,5,1,5,4,2,5,2008,Protestant,Barack Obama
42,3,4,5,5,1,1,3,3,3,2008,Protestant,NA
42,3,5,5,3,3,1,2,2,3,2008,Protestant,Barack Obama
42,2,2,5,5,1,5,2,4,4,2008,Protestant,John McCain
42,1,3,5,5,1,5,1,1,1,2008,Catholic,Barack Obama
42,2,4,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
42,3,2,1,5,5,1,2,5,1,2008,Protestant,Barack Obama
42,3,2,NA,NA,NA,NA,NA,NA,NA,2008,Catholic,NA
42,2,4,5,5,5,5,5,4,4,2008,Protestant,John McCain
42,1,4,1,1,5,1,5,4,2,2008,Protestant,Barack Obama
42,3,3,5,1,3,3,5,3,4,2008,Protestant,NA
42,1,3,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
42,3,4,5,5,1,3,3,2,4,2008,NA,John McCain
42,2,4,5,5,1,5,2,2,1,2008,Protestant,John McCain
42,1,1,5,5,1,5,1,1,1,2008,Protestant,Barack Obama
42,1,3,5,5,1,5,2,3,2,2008,Protestant,NA
42,1,4,5,5,1,5,2,1,1,2008,Protestant,Barack Obama
42,1,2,5,5,1,5,5,5,1,2008,Protestant,Barack Obama
42,1,5,5,1,1,1,4,5,3,2008,Protestant,Barack Obama
42,1,4,5,1,1,1,1,4,1,2008,Other Religion,Barack Obama
42,1,3,5,5,1,5,2,5,1,2008,Protestant,Barack Obama
42,1,2,5,1,1,5,2,4,2,2008,Protestant,Barack Obama
42,2,4,5,5,1,1,5,5,2,2008,Protestant,Barack Obama
42,3,5,5,5,3,3,5,5,2,2008,NA,Barack Obama
42,1,2,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
42,3,4,5,5,1,1,3,4,2,2008,NA,Barack Obama
44,3,3,5,5,1,1,2,4,2,2008,Catholic,NA
44,3,4,NA,NA,NA,NA,NA,NA,NA,2008,Catholic,NA
44,3,5,1,1,1,5,5,3,2,2008,Other Religion,Barack Obama
44,3,4,5,5,1,5,2,1,1,2008,Catholic,John McCain
44,3,5,5,5,3,3,5,1,4,2008,Protestant,Barack Obama
44,3,4,3,5,5,3,3,2,2,2008,NA,NA
44,3,5,5,5,5,5,1,1,2,2008,NA,NA
44,1,5,NA,NA,NA,NA,NA,NA,NA,2008,Catholic,NA
44,5,2,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
44,1,4,5,5,1,1,4,4,2,2008,Catholic,Barack Obama
44,5,2,1,5,1,5,1,5,1,2008,NA,NA
44,3,5,5,5,1,5,2,3,3,2008,NA,NA
44,3,4,5,5,1,5,1,3,2,2008,NA,NA
44,1,5,5,5,1,5,5,5,2,2008,Protestant,Barack Obama
44,2,3,5,5,5,1,5,4,4,2008,Orthodox,John McCain
44,1,5,5,5,1,5,5,4,1,2008,Protestant,Barack Obama
44,1,5,5,5,1,1,5,4,1,2008,Protestant,Barack Obama
44,1,2,5,5,1,1,5,5,1,2008,Protestant,Barack Obama
44,3,2,5,5,1,1,5,5,2,2008,Protestant,NA
44,3,5,5,5,1,5,5,3,1,2008,Protestant,NA
45,3,3,5,5,1,1,5,3,1,2008,NA,NA
45,1,4,3,5,1,5,2,2,1,2008,Protestant,Barack Obama
45,2,2,5,5,1,5,3,2,2,2008,Protestant,John McCain
45,2,2,3,3,5,3,2,4,4,2008,Protestant,John McCain
45,3,4,3,3,3,3,4,5,2,2008,Protestant,Barack Obama
45,1,2,3,3,3,3,4,5,1,2008,Protestant,NA
45,3,5,5,5,3,3,4,1,2,2008,Protestant,NA
45,1,3,3,3,3,3,3,4,2,2008,Protestant,Barack Obama
45,5,2,5,5,1,3,4,4,2,2008,Protestant,Barack Obama
45,3,5,5,3,1,5,4,3,2,2008,NA,NA
45,1,4,3,3,3,3,2,3,1,2008,Protestant,Barack Obama
45,1,3,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
45,3,4,3,3,1,3,5,2,5,2008,Protestant,NA
45,1,2,5,5,1,5,1,1,1,2008,Protestant,Barack Obama
45,3,3,3,5,3,3,3,3,2,2008,Protestant,NA
45,5,4,3,5,1,5,5,1,1,2008,Protestant,NA
45,1,3,5,5,1,5,2,2,2,2008,Protestant,Barack Obama
45,2,5,5,5,1,1,4,4,4,2008,Protestant,NA
45,2,2,5,3,3,3,2,3,1,2008,Protestant,John McCain
45,2,3,5,5,3,1,5,5,5,2008,Catholic,John McCain
45,2,4,5,5,1,5,3,4,4,2008,Protestant,John McCain
45,1,5,3,3,3,3,5,5,1,2008,Protestant,Barack Obama
45,5,2,5,5,1,5,3,3,3,2008,Protestant,NA
45,1,4,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
45,1,3,3,3,3,3,4,5,2,2008,Protestant,Barack Obama
45,1,5,3,5,NA,5,4,3,5,2008,NA,NA
45,3,4,5,5,1,5,4,2,4,2008,Protestant,NA
45,1,4,5,5,1,5,2,2,1,2008,Protestant,Barack Obama
45,5,3,5,5,1,3,3,3,3,2008,Protestant,NA
45,5,4,3,3,3,3,5,5,2,2008,Protestant,NA
45,1,1,3,3,3,3,2,2,2,2008,Protestant,Barack Obama
45,3,2,5,5,1,5,1,3,2,2008,Protestant,Barack Obama
45,3,4,5,5,1,5,3,3,3,2008,Protestant,NA
45,2,5,5,5,1,1,1,2,2,2008,Protestant,John McCain
45,3,2,5,5,1,3,3,2,2,2008,Protestant,NA
45,5,1,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
45,NA,3,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
45,3,4,5,5,1,5,5,2,1,2008,Protestant,NA
45,1,3,3,5,1,1,5,2,2,2008,Protestant,NA
45,NA,5,5,5,1,5,5,1,1,2008,Protestant,NA
45,1,4,5,5,1,5,2,4,1,2008,Protestant,Barack Obama
45,1,4,5,1,1,1,4,4,2,2008,Catholic,Barack Obama
45,1,5,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
45,1,4,5,5,1,5,4,4,5,2008,Protestant,Barack Obama
45,3,4,5,5,1,5,5,4,1,2008,Protestant,John McCain
45,2,1,5,5,1,5,2,1,1,2008,Protestant,John McCain
45,1,4,5,5,5,1,2,3,2,2008,Protestant,John McCain
45,2,4,5,5,1,1,2,5,4,2008,Protestant,NA
45,2,2,5,5,1,5,3,4,2,2008,NA,John McCain
45,2,2,3,5,5,3,4,3,2,2008,NA,John McCain
45,NA,4,5,5,1,5,1,2,1,2008,Protestant,NA
45,1,2,1,5,1,1,2,1,4,2008,Protestant,Barack Obama
45,1,4,5,5,1,5,2,1,2,2008,Protestant,NA
45,1,4,5,5,1,5,3,2,2,2008,Protestant,Barack Obama
45,1,4,1,5,5,5,5,5,2,2008,Protestant,Barack Obama
45,3,3,5,5,1,5,2,3,1,2008,NA,NA
45,3,5,1,1,NA,NA,5,5,1,2008,NA,Barack Obama
45,1,2,5,5,1,5,4,5,4,2008,Protestant,Barack Obama
45,3,1,1,5,1,1,2,2,3,2008,Protestant,Barack Obama
45,1,NA,5,5,1,5,NA,5,NA,2008,Protestant,Barack Obama
45,1,5,5,5,1,1,5,4,2,2008,Protestant,Barack Obama
45,1,2,5,5,1,5,1,2,1,2008,Protestant,Barack Obama
45,NA,1,5,5,1,5,2,4,4,2008,Protestant,NA
45,1,3,5,5,1,5,5,5,2,2008,Protestant,Barack Obama
45,1,5,5,5,1,5,2,1,1,2008,Protestant,Barack Obama
45,1,2,5,5,1,1,4,5,1,2008,Protestant,Barack Obama
45,2,1,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
45,1,1,5,5,1,5,4,5,1,2008,Protestant,Barack Obama
45,1,2,3,5,1,3,3,4,1,2008,NA,NA
47,3,3,1,5,1,5,3,3,3,2008,NA,NA
47,1,3,5,5,1,1,4,4,2,2008,Protestant,Barack Obama
47,1,3,3,5,3,3,2,2,1,2008,Protestant,Barack Obama
47,1,2,5,5,5,1,5,5,4,2008,Protestant,Barack Obama
47,1,1,3,3,3,3,5,5,NA,2008,Protestant,Barack Obama
47,1,5,3,3,3,3,4,1,1,2008,Protestant,Barack Obama
47,1,1,3,3,3,3,5,4,2,2008,Protestant,Barack Obama
47,1,2,3,5,1,5,4,4,1,2008,Protestant,Barack Obama
47,1,3,3,3,3,3,5,4,2,2008,Protestant,Barack Obama
47,3,5,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
47,1,4,3,5,1,3,5,5,1,2008,Protestant,Barack Obama
47,1,4,5,5,3,3,2,4,2,2008,Protestant,Barack Obama
47,2,3,5,5,3,1,5,5,1,2008,Catholic,John McCain
47,3,3,5,5,1,5,5,5,1,2008,Protestant,NA
47,1,5,3,5,1,5,3,5,3,2008,Protestant,Barack Obama
47,1,4,5,5,1,3,4,4,4,2008,Protestant,Barack Obama
47,1,5,5,5,1,5,3,3,3,2008,NA,NA
47,1,3,3,5,5,3,5,2,5,2008,NA,NA
47,1,4,3,3,3,3,5,5,1,2008,Protestant,Barack Obama
47,3,4,5,5,1,3,3,3,4,2008,Protestant,Barack Obama
47,5,2,5,5,1,5,4,2,2,2008,Protestant,Barack Obama
47,1,5,5,5,3,3,5,5,2,2008,Protestant,Barack Obama
47,1,4,3,3,3,3,4,2,2,2008,Protestant,Barack Obama
47,1,4,1,5,1,5,4,4,2,2008,Protestant,Barack Obama
47,3,4,5,5,1,5,5,5,2,2008,NA,NA
47,1,5,5,3,3,5,2,2,4,2008,Protestant,Barack Obama
47,2,1,5,5,1,5,1,3,1,2008,Protestant,Barack Obama
47,1,4,5,5,1,5,3,3,2,2008,Protestant,Barack Obama
47,1,5,5,5,1,3,5,5,2,2008,Protestant,Barack Obama
47,1,5,3,3,3,3,4,5,4,2008,Protestant,Barack Obama
47,1,5,5,5,1,3,4,5,3,2008,Protestant,Barack Obama
47,3,1,5,5,1,5,2,2,4,2008,Protestant,NA
47,1,5,5,5,1,5,3,4,4,2008,Protestant,Barack Obama
47,1,4,5,5,1,5,3,3,4,2008,Protestant,Barack Obama
47,2,3,3,3,3,3,5,4,3,2008,Protestant,John McCain
47,2,3,3,3,3,3,4,3,3,2008,Protestant,John McCain
47,3,4,3,3,3,3,3,3,2,2008,NA,Barack Obama
47,2,2,5,5,1,1,2,2,1,2008,Protestant,John McCain
47,3,2,5,5,5,1,5,4,4,2008,Protestant,NA
47,2,2,5,5,5,5,5,5,2,2008,Protestant,John McCain
47,2,3,3,3,3,3,2,3,1,2008,Protestant,John McCain
47,2,2,5,3,3,3,3,4,4,2008,Protestant,John McCain
47,3,2,5,3,3,3,1,4,2,2008,NA,John McCain
47,3,4,3,3,3,3,5,5,1,2008,Protestant,John McCain
47,3,5,1,5,5,1,3,3,2,2008,Protestant,Barack Obama
47,3,5,3,3,3,3,4,4,2,2008,Protestant,John McCain
47,1,3,3,5,3,3,5,1,1,2008,Protestant,Barack Obama
47,3,3,5,5,1,5,3,2,2,2008,NA,John McCain
47,3,5,5,5,1,5,3,3,4,2008,Catholic,NA
47,3,3,3,3,3,3,2,4,2,2008,Protestant,John McCain
47,3,3,5,5,1,1,3,3,2,2008,NA,NA
47,3,3,1,1,1,1,3,5,2,2008,Protestant,John McCain
47,3,4,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
47,2,2,5,5,1,5,3,3,3,2008,Protestant,John McCain
47,2,5,5,5,1,5,2,2,3,2008,Protestant,John McCain
47,4,3,5,1,5,1,1,1,3,2008,Protestant,John McCain
47,2,4,3,5,1,3,2,4,2,2008,Protestant,John McCain
47,3,4,5,1,5,1,3,4,2,2008,Protestant,John McCain
47,2,4,1,1,5,1,5,5,3,2008,Protestant,John McCain
47,2,2,1,1,5,1,2,4,2,2008,Protestant,John McCain
47,2,2,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
47,2,2,1,1,5,1,2,2,2,2008,Protestant,John McCain
47,2,4,5,5,1,1,4,3,2,2008,Protestant,John McCain
47,2,4,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
47,2,1,3,3,3,3,5,5,3,2008,Protestant,John McCain
47,2,2,5,5,1,5,5,4,2,2008,Protestant,John McCain
47,2,2,5,5,5,5,5,5,4,2008,Catholic,John McCain
47,3,4,5,5,1,1,3,2,2,2008,Protestant,John McCain
47,2,4,3,3,3,3,3,4,4,2008,Protestant,John McCain
47,2,4,3,3,3,3,2,4,2,2008,Protestant,Barack Obama
47,1,2,3,5,5,1,3,3,3,2008,Catholic,Barack Obama
47,2,4,5,5,1,5,4,2,2,2008,Protestant,John McCain
47,3,3,5,5,1,5,2,1,5,2008,Protestant,NA
47,2,1,3,5,3,3,3,4,2,2008,Protestant,John McCain
47,1,4,3,1,3,3,5,4,2,2008,Protestant,Barack Obama
47,2,1,5,5,1,1,2,3,5,2008,Catholic,John McCain
47,1,3,5,5,1,1,5,4,2,2008,Protestant,John McCain
48,1,4,5,5,1,5,3,4,4,2008,Catholic,Barack Obama
48,2,2,5,5,1,5,4,2,2,2008,Catholic,John McCain
48,3,4,5,5,1,1,3,3,1,2008,Catholic,Barack Obama
48,2,1,5,5,1,1,4,5,5,2008,Catholic,NA
48,1,2,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
48,3,2,5,3,3,3,3,3,2,2008,Catholic,NA
48,5,2,1,1,1,1,2,3,1,2008,Protestant,NA
48,1,5,5,5,3,3,5,2,2,2008,Catholic,NA
48,3,1,5,5,5,5,2,1,2,2008,NA,NA
48,3,5,5,5,5,5,2,4,1,2008,Catholic,Barack Obama
48,1,5,5,5,1,5,1,2,4,2008,Catholic,Barack Obama
48,1,2,NA,NA,NA,NA,NA,NA,NA,2008,Catholic,NA
48,3,1,5,1,1,5,1,1,1,2008,Catholic,Barack Obama
48,1,5,5,5,1,5,3,1,1,2008,Catholic,NA
48,5,5,5,5,1,1,4,4,5,2008,NA,NA
48,1,NA,NA,NA,NA,NA,NA,NA,NA,2008,Catholic,NA
48,1,3,5,5,1,1,4,2,1,2008,Catholic,Barack Obama
48,3,3,5,5,1,1,4,1,1,2008,Catholic,Barack Obama
48,1,4,5,5,1,5,2,2,2,2008,Catholic,NA
48,1,3,3,3,3,3,5,5,1,2008,Catholic,Barack Obama
48,1,5,5,5,5,5,5,4,1,2008,Protestant,Barack Obama
48,5,4,5,5,1,1,3,1,2,2008,Catholic,NA
48,3,4,5,1,5,1,5,4,2,2008,Protestant,NA
48,1,5,5,5,5,1,4,2,1,2008,Protestant,Barack Obama
48,1,1,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
48,3,5,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
48,3,1,5,5,1,5,3,3,2,2008,Protestant,NA
48,3,4,5,5,5,1,5,5,4,2008,Catholic,Barack Obama
48,NA,5,5,5,NA,5,3,3,3,2008,Catholic,NA
48,5,3,1,5,1,5,4,5,3,2008,Protestant,NA
48,3,1,5,5,1,5,3,2,4,2008,NA,NA
48,2,4,5,3,3,3,4,4,2,2008,Protestant,John McCain
48,1,3,5,3,1,3,1,3,2,2008,Catholic,Barack Obama
48,1,5,5,5,1,5,1,4,4,2008,NA,NA
48,3,1,1,5,1,1,1,5,1,2008,Catholic,John McCain
48,3,2,5,5,1,5,3,3,4,2008,Catholic,NA
48,1,1,3,5,3,3,4,3,2,2008,Catholic,Barack Obama
48,3,3,5,1,5,1,1,3,2,2008,Protestant,John McCain
48,1,3,5,1,1,5,4,2,2,2008,Catholic,John McCain
48,1,3,5,5,1,5,2,1,2,2008,Protestant,NA
48,1,1,5,5,1,1,5,4,2,2008,NA,Barack Obama
48,5,3,5,5,1,5,3,4,1,2008,Catholic,NA
48,1,2,5,5,1,5,3,3,1,2008,Protestant,Barack Obama
48,1,4,5,5,1,5,5,4,2,2008,Catholic,Barack Obama
48,3,2,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
48,2,3,5,5,1,1,2,2,4,2008,Protestant,John McCain
48,1,5,5,5,1,5,5,3,1,2008,Protestant,NA
48,2,3,5,1,1,1,4,1,3,2008,Catholic,John McCain
48,5,2,5,5,1,3,2,4,2,2008,Protestant,NA
48,1,4,NA,NA,NA,NA,NA,NA,NA,2008,Catholic,NA
48,1,3,5,5,1,1,2,1,1,2008,Catholic,Barack Obama
48,5,2,5,1,1,1,3,4,2,2008,Protestant,NA
48,1,5,5,5,1,5,4,4,4,2008,Protestant,NA
48,3,2,5,5,1,5,3,4,2,2008,Catholic,NA
48,1,4,5,1,1,1,5,3,2,2008,Catholic,Barack Obama
48,1,4,5,5,5,1,4,3,2,2008,Catholic,Barack Obama
48,1,2,5,5,1,5,1,1,1,2008,Catholic,NA
48,1,2,5,5,1,1,4,5,2,2008,Catholic,Barack Obama
48,1,1,5,5,5,1,5,5,2,2008,Catholic,Barack Obama
48,2,2,5,1,1,1,2,4,2,2008,Protestant,John McCain
48,3,3,3,3,3,3,1,1,5,2008,Protestant,NA
48,5,2,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
48,5,2,5,5,1,5,2,3,2,2008,Protestant,John McCain
48,3,4,5,5,1,5,3,3,1,2008,Protestant,NA
48,3,4,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
48,2,3,5,5,5,1,5,5,2,2008,Protestant,NA
48,3,4,5,5,1,5,2,1,2,2008,Protestant,Barack Obama
48,3,3,1,5,1,1,5,5,3,2008,Protestant,NA
48,2,5,5,5,1,1,5,4,1,2008,Catholic,John McCain
48,3,2,3,5,3,3,5,4,2,2008,Protestant,Barack Obama
48,2,5,5,1,1,1,4,4,2,2008,Protestant,John McCain
48,1,5,5,5,5,1,5,5,2,2008,Protestant,Barack Obama
48,1,2,5,5,5,5,5,4,3,2008,NA,Barack Obama
48,3,2,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
48,1,4,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
48,5,3,5,3,1,5,2,2,2,2008,NA,John McCain
48,1,3,1,1,5,1,5,5,1,2008,NA,Barack Obama
48,3,1,5,5,5,5,2,2,4,2008,Protestant,NA
48,1,5,5,1,5,1,5,3,2,2008,Protestant,NA
48,3,1,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
48,3,3,1,1,5,5,3,5,4,2008,Protestant,John McCain
48,3,5,3,3,3,3,5,5,1,2008,Protestant,John McCain
48,3,1,1,5,5,5,5,1,2,2008,NA,Barack Obama
48,3,4,5,5,1,1,5,5,5,2008,Protestant,John McCain
48,2,4,5,5,5,5,4,4,4,2008,Protestant,John McCain
48,1,2,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
48,2,1,5,5,5,1,4,2,2,2008,Protestant,John McCain
48,2,3,5,5,5,3,5,5,2,2008,Protestant,John McCain
48,3,4,5,5,1,5,3,2,1,2008,Protestant,NA
48,2,3,NA,NA,NA,NA,NA,NA,NA,2008,Catholic,NA
48,3,1,5,1,5,1,4,4,4,2008,NA,Barack Obama
48,1,4,3,5,5,1,5,4,2,2008,Catholic,Barack Obama
48,3,1,3,5,1,1,4,4,2,2008,Protestant,NA
48,3,2,5,5,5,1,3,4,2,2008,Catholic,NA
