party,state,score,year,child_score,women_score,foreign_score,rural_score,financial,absentee
NA,minnesota,0.678461538461538,2020,1,0.3175,0.5,0.85,0.5,NA
NA,minnesota,0.64,2020,1,0.33999999999999997,0.375,0.7366666666666667,0.75,1
Democrat,pennsylvania,0.568461538461538,2020,0.75,0.38,0.5,0.6233333333333333,0.5,NA
Republican,pennsylvania,0.588461538461538,2020,0.5,0.38,0.875,0.7933333333333333,0.5,NA
NA,NA,0.554615384615385,2020,0.75,0.4825,0.375,0.51,0.75,NA
Democrat,new york,0.501538461538461,2020,1,0.3175,0.125,0.3333333333333333,0.75,NA
Democrat,pennsylvania,0.505384615384615,2020,0.25,0.4875,0.875,0.6233333333333333,0.5,NA
Independent,florida,0.712307692307692,2020,0.5,0.565,1,1,0.25,NA
NA,texas,0.683846153846154,2020,1,0.5275000000000001,0.625,0.51,0.25,NA
Democrat,oklahoma,0.458461538461538,2020,0,0.46499999999999997,0.625,0.95,0,NA
Republican,arizona,0.664615384615385,2020,0.75,0.5875,0.625,0.68,0.25,NA
Democrat,delaware,0.536923076923077,2020,0.5,0.42000000000000004,0.375,0.85,0.5,NA
Independent,washington dc,0.465384615384615,2020,0.75,0.38,0,0.51,0.25,NA
NA,indiana,0.336923076923077,2020,0.25,0.255,0,0.7866666666666666,0.75,NA
Democrat,nevada,0.728461538461538,2020,0.75,0.6325000000000001,0.875,0.73,0.5,NA
Independent,florida,0.614615384615385,2020,0.75,0.46499999999999997,0.375,0.7933333333333333,0.5,NA
Independent,west virginia,0.426923076923077,2020,0.25,0.38,0.75,0.51,0.5,NA
Republican,massachusetts,0.652307692307692,2020,1,0.255,0.625,0.7366666666666667,0.5,NA
NA,ohio,0.675384615384615,2020,0.75,0.75,0.625,0.51,0.5,NA
NA,virginia,0.637692307692308,2020,0.75,0.4425,0.75,0.6733333333333333,0.25,NA
Republican,new york,0.299230769230769,2020,0,0.38,0.25,0.6233333333333334,0.5,NA
Republican,oklahoma,0.677692307692308,2020,0.75,0.4875,0.75,0.7866666666666666,0.75,NA
NA,ohio,0.433846153846154,2020,0.25,0.55,0.625,0.39666666666666667,0.5,NA
NA,hawaii,0.746923076923077,2020,1,0.55,0.5,0.8366666666666667,0.5,NA
NA,texas,0.633076923076923,2020,0.5,0.8,0.75,0.51,0.25,NA
Democrat,massachusetts,0.469230769230769,2020,0.25,0.625,0.375,0.6166666666666667,0.25,NA
NA,georgia,0.426153846153846,2020,0.5,0.2925,0.25,0.6233333333333333,0.75,NA
NA,south carolina,0.234615384615385,2020,0,0.255,0.25,0.51,0.5,NA
NA,washington,0.318461538461538,2020,0,0.46499999999999997,0.375,0.51,0.5,NA
Democrat,pennsylvania,0.676923076923077,2020,0.75,0.5675,1,0.51,0.25,NA
Independent,pennsylvania,0.670769230769231,2020,0.75,0.6925,0.625,0.5666666666666667,0.75,NA
Democrat,california,0.37,2020,0.25,0.255,0.375,0.68,0.5,NA
Republican,idaho,0.742307692307692,2020,0.75,0.675,0.625,0.9,0.25,NA
NA,indiana,0.396153846153846,2020,0,0.4225,0.625,0.7366666666666667,0.25,NA
Democrat,pennsylvania,0.490769230769231,2020,0.5,0.255,0.5,0.7866666666666666,0.5,NA
Republican,maryland,0.760769230769231,2020,1,0.5875,0.75,0.68,0.25,NA
Independent,massachusetts,0.446153846153846,2020,0.5,0.255,0.625,0.51,0.5,NA
Independent,kansas,0.409230769230769,2020,0,0.46499999999999997,0.625,0.7366666666666667,0.5,NA
Republican,pennsylvania,0.428461538461538,2020,0.25,0.40249999999999997,0.375,0.7366666666666667,0.75,NA
Republican,new york,0.770769230769231,2020,1,0.38,0.75,1,0.5,0
Republican,california,0.329230769230769,2020,0,0.5025,0.625,0.34,0.5,NA
NA,illinois,0.621538461538461,2020,0.5,0.55,0.75,0.7933333333333333,0.5,NA
NA,ohio,0.600769230769231,2020,0.5,0.5025,0.625,0.85,0.5,NA
NA,illinois,0.639230769230769,2020,0.75,0.485,0.75,0.6233333333333333,0.25,NA
Democrat,massachusetts,0.516153846153846,2020,0.5,0.42,0.75,0.51,0.5,NA
Democrat,north carolina,0.515384615384615,2020,0.75,0.255,0,0.8933333333333333,0.75,NA
Republican,new york,0.819230769230769,2020,0.75,0.8375,0.875,0.85,0,NA
Democrat,pennsylvania,0.420769230769231,2020,0.5,0.36,0.25,0.51,0.5,NA
Republican,arizona,0.657692307692308,2020,1,0.38,0.75,0.51,0,1
Republican,florida,0.383076923076923,2020,0,0.46499999999999997,0.625,0.6233333333333333,0.25,NA
