party,state,score,year,child_score,women_score,foreign_score,rural_score,financial,absentee
Republican,alaska,0.453846153846154,2020,0.25,0.46499999999999997,0.5,0.68,0.5,NA
Democrat,maryland,NA,2020,NA,NA,NA,NA,0.5,NA
NA,michigan,0.516153846153846,2020,0.5,0.255,0.75,0.73,0.5,NA
Republican,florida,0.503076923076923,2020,0.5,0.3175,0.625,0.6733333333333333,0.5,NA
NA,wisconsin,0.659230769230769,2020,0.75,0.46499999999999997,0.75,0.7366666666666667,0.25,NA
NA,minnesota,0.356923076923077,2020,0,0.36,0.75,0.5666666666666667,0,NA
Republican,new jersey,0.6,2020,0.75,0.3175,1,0.51,0.5,NA
Republican,oregon,0.492307692307692,2020,0.25,0.38,0.75,0.7933333333333333,0.5,NA
Independent,florida,0.779230769230769,2020,1,0.7125,0.875,0.51,0.5,NA
NA,south carolina,NA,2020,NA,NA,NA,NA,0.75,NA
Republican,kentucky,0.395384615384615,2020,0,0.505,0.625,0.6233333333333333,0.5,NA
Democrat,louisiana,0.593076923076923,2020,0.5,0.5275,0.375,0.95,0.5,NA
Independent,florida,0.526363636363636,2020,0.75,0.38,0.25,0.51,0.5,NA
NA,NA,0.702307692307692,2020,1,0.6275,0.375,0.6233333333333333,0.5,NA
NA,ohio,0.143846153846154,2020,0,0.33999999999999997,0,0.17,1,NA
NA,NA,0.35,2020,0.5,0.255,0,0.51,1,NA
Democrat,maryland,0.433846153846154,2020,0.25,0.46499999999999997,0.125,0.8433333333333334,0.25,NA
Democrat,florida,0.440769230769231,2020,0.5,0.40249999999999997,0.125,0.6233333333333333,0.5,NA
NA,texas,0.491538461538462,2020,0.5,0.46499999999999997,0.5,0.51,0.75,NA
NA,michigan,0.555384615384615,2020,0.5,0.3175,0.625,0.9,0.25,NA
Democrat,utah,0.363076923076923,2020,0.25,0.2975,0.5,0.51,0.75,NA
Republican,colorado,NA,2020,NA,NA,NA,NA,0.25,NA
NA,NA,0.683846153846154,2020,0.75,0.5475,0.5,0.9,0.5,NA
Democrat,new york,0.409230769230769,2020,0,0.38,0.625,0.85,0.75,NA
NA,virginia,NA,2020,NA,NA,NA,NA,0.5,NA
Independent,new jersey,0.777692307692308,2020,1,0.7125,0.375,0.8366666666666667,1,NA
NA,NA,0.414615384615385,2020,0.25,0.4425,0.375,0.6233333333333333,1,NA
NA,texas,0.846153846153846,2020,0.75,1,0.5,1,1,NA
NA,minnesota,0.273076923076923,2020,0,0.255,0.5,0.51,0.5,NA
NA,alabama,NA,2020,NA,NA,NA,NA,0,NA
Democrat,maryland,0.548461538461538,2020,1,0.255,0.375,0.45333333333333337,0.5,NA
Republican,utah,0.57,2020,0.5,0.5275,0.375,0.85,0.25,NA
Democrat,new york,0.613076923076923,2020,1,0.255,0.625,0.5666666666666667,0.5,NA
Independent,kentucky,0.37,2020,0,0.5075000000000001,0.625,0.51,0.25,NA
Democrat,pennsylvania,0.421538461538462,2020,0.25,0.3175,0.5,0.7366666666666667,0.25,NA
Independent,utah,0.362307692307692,2020,0.25,0.3175,0.625,0.39666666666666667,0.5,NA
Independent,new mexico,0.420769230769231,2020,0,0.7125,0.375,0.6233333333333333,0.5,NA
NA,indiana,0.586923076923077,2020,0.75,0.38,0.875,0.45333333333333337,0.25,NA
NA,illinois,0.505384615384615,2020,0.5,0.46499999999999997,0.25,0.7366666666666667,0.5,NA
Republican,arizona,NA,2020,NA,NA,NA,NA,0.5,NA
Democrat,massachusetts,NA,2020,NA,NA,NA,NA,0.75,NA
NA,indiana,0.702307692307692,2020,0.75,0.5675,0.75,0.7866666666666666,0,NA
NA,michigan,0.388461538461538,2020,0.25,0.3175,0.625,0.51,0.75,NA
NA,ohio,0.633076923076923,2020,0.75,0.5275,0.625,0.6233333333333333,0.5,NA
NA,illinois,0.466923076923077,2020,0.25,0.5275,0.375,0.7366666666666667,0.5,NA
NA,NA,0.62,2020,0.75,0.4625,0.5,0.7366666666666667,0.75,NA
NA,NA,NA,2020,NA,NA,NA,NA,0,NA
Democrat,new york,0.549230769230769,2020,0.5,0.3175,1,0.6233333333333333,0.5,NA
NA,illinois,0.37,2020,0.25,0.255,0.375,0.6799999999999999,0.75,NA
Independent,pennsylvania,0.208461538461538,2020,0,0.17,0.25,0.51,0.5,NA
Independent,new york,0.676923076923077,2020,1,0.4425,0.75,0.51,0.75,NA
NA,washington,0.71,2020,0.75,0.63,0.75,0.7366666666666667,0.25,NA
Republican,oklahoma,0.581538461538462,2020,0.75,0.46499999999999997,0.5,0.5666666666666667,0.25,NA
Democrat,pennsylvania,NA,2020,NA,NA,NA,NA,0.5,NA
NA,indiana,0.389230769230769,2020,0,0.38,0.75,0.68,0.5,NA
NA,wisconsin,0.618461538461539,2020,0.75,0.3175,0.875,0.6733333333333333,0.5,NA
Republican,new york,0.560769230769231,2020,0.5,0.5675,0.5,0.6733333333333333,0.25,NA
NA,texas,0.28,2020,0,0.255,0.375,0.6233333333333333,0.5,NA
NA,texas,0.517692307692308,2020,0.5,0.4875,0.625,0.51,0.5,NA
NA,ohio,0.363076923076923,2020,0.25,0.40249999999999997,0.375,0.45333333333333337,0.75,NA
Republican,florida,0.786363636363636,2020,1,0.65,0.75,0.85,0.5,NA
Democrat,massachusetts,0.368461538461538,2020,0.5,0.1275,0.375,0.51,0.5,NA
Democrat,california,NA,2020,NA,NA,NA,NA,0.75,NA
Independent,kentucky,0.450769230769231,2020,0,0.6725,1,0.39,0.5,NA
Democrat,north carolina,0.181538461538462,2020,0,0.255,0.5,0.11333333333333334,0.5,NA
Independent,florida,0.432307692307692,2020,0.25,0.38,0.125,0.95,0.75,NA
NA,indiana,0.676363636363636,2020,0.5,0.6466666666666667,0.75,1,0.25,NA
Independent,new york,NA,2020,NA,NA,NA,NA,0.5,NA
Democrat,florida,0.426923076923077,2020,0.5,0.255,0.5,0.51,0.5,NA
Democrat,colorado,0.292307692307692,2020,0,0.36,0.5,0.4533333333333333,0.5,NA
NA,ohio,0.503846153846154,2020,0.5,0.2975,0.5,0.7866666666666666,0.5,NA
Republican,pennsylvania,0.773076923076923,2020,1,0.4875,0.625,0.95,0.5,NA
Independent,new york,0.356923076923077,2020,0,0.485,0.5,0.5666666666666667,0.25,NA
NA,NA,0.580769230769231,2020,0.75,0.42,0.5,0.6233333333333333,0.75,NA
Democrat,california,0.3025,2020,0.25,0.17,0.125,0.85,0.5,NA
Republican,pennsylvania,0.447692307692308,2020,0,0.5275,0.75,0.7366666666666667,0.5,NA
NA,michigan,NA,2020,NA,NA,NA,NA,0.5,NA
Independent,california,0.260769230769231,2020,0,0.255,0.25,0.6233333333333333,0.25,NA
Democrat,massachusetts,0.322307692307692,2020,0,0.255,0.5,0.7233333333333334,0.5,NA
NA,NA,0.595384615384615,2020,0.75,0.4875,0.375,0.68,0.5,NA
Republican,pennsylvania,0.616923076923077,2020,0.5,0.6275,0.5,0.8366666666666667,0.25,NA
Republican,florida,0.685384615384615,2020,0.75,0.6125,0.625,0.7366666666666667,0.5,NA
Republican,pennsylvania,0.253846153846154,2020,0,0.255,0.375,0.51,0.5,NA
Republican,connecticut,0.51,2020,0.5,0.46499999999999997,0.375,0.6733333333333333,0.5,NA
Democrat,new york,0.58,2020,0.75,0.255,0.75,0.6733333333333333,1,NA
NA,virginia,0.280769230769231,2020,0,0.255,0.125,0.7933333333333333,0.5,NA
Democrat,california,0.682307692307692,2020,1,0.255,0.5,0.95,0.5,NA
NA,washington,0.363846153846154,2020,0,0.33999999999999997,0.75,0.6233333333333333,0.25,NA
Democrat,kentucky,0.549230769230769,2020,0.75,0.3175,0.5,0.6233333333333333,0.75,NA
NA,georgia,0.35,2020,0.25,0.3175,0.375,0.51,0.5,NA
Independent,NA,0.816923076923077,2020,1,0.6925,0.5,0.95,0.75,NA
NA,washington,0.248461538461538,2020,0,0.33999999999999997,0,0.6233333333333333,0.25,NA
Democrat,nebraska,0.355384615384615,2020,0,0.44,0.25,0.7866666666666666,0.5,NA
Democrat,oregon,0.306153846153846,2020,0,0.255,0.375,0.7366666666666667,0.25,NA
Republican,nebraska,0.613,2020,0.75,0.85,0.375,0.51,0.25,NA
Independent,louisiana,0.175384615384615,2020,0,0.3175,0.25,0.17,0.5,NA
Republican,kansas,0.407692307692308,2020,0.5,0.255,0.375,0.51,0.5,NA
Democrat,maryland,0.586923076923077,2020,0.75,0.3175,0.5,0.7866666666666666,1,NA
Independent,arizona,0.483846153846154,2020,0,0.7125,0.625,0.73,0.25,NA
NA,texas,0.750769230769231,2020,0.75,0.6875,0.75,0.8366666666666667,0.25,NA
Republican,nebraska,0.53,2020,0.75,0.46499999999999997,0.25,0.51,0.5,NA
NA,indiana,0.459230769230769,2020,0.5,0.38,0.375,0.5666666666666667,0.5,NA
Republican,california,0.39,2020,0,0.3175,0.625,0.85,0.5,NA
Democrat,iowa,0.394615384615385,2020,0.25,0.255,0.375,0.7866666666666666,0.5,NA
NA,georgia,0.773076923076923,2020,1,0.8,0.5,0.6166666666666667,0.5,0
NA,ohio,0.51,2020,0.25,0.525,1,0.51,0.25,NA
Republican,north carolina,NA,2020,NA,NA,NA,NA,0.5,NA
Democrat,arizona,0.331538461538462,2020,0.25,0.255,0.125,0.68,0.5,NA
NA,texas,0.543846153846154,2020,0.75,0.33999999999999997,0.25,0.7366666666666667,0.5,NA
NA,mississippi,0.713846153846154,2020,1,0.625,0.625,0.51,0.5,NA
NA,NA,0.629230769230769,2020,0.5,0.5625,0.625,0.8933333333333333,0.5,NA
Democrat,florida,0.643846153846154,2020,0.75,0.625,0.5,0.6233333333333333,0.25,NA
Democrat,florida,NA,2020,NA,NA,NA,NA,0.5,NA
Republican,arizona,0.58,2020,0.75,0.565,0.375,0.51,0,NA
NA,indiana,0.416153846153846,2020,0,0.55,0.5,0.7366666666666667,0.5,NA
NA,wisconsin,0.234615384615385,2020,0,0.255,0.25,0.51,0.5,NA
Democrat,pennsylvania,0.634615384615385,2020,0.5,0.55,0.75,0.85,0.5,NA
NA,texas,0.717692307692308,2020,0.75,0.675,0.625,0.7933333333333333,0.5,NA
Democrat,north carolina,0.428461538461538,2020,0.25,0.38,0.25,0.85,0.75,NA
NA,indiana,0.299230769230769,2020,0,0.255,0.5,0.6233333333333334,0.5,NA
Democrat,new york,0.55,2020,0.5,0.55,0.625,0.5666666666666667,0.75,NA
Independent,new york,0.214615384615385,2020,0,0.3375,0.125,0.39666666666666667,0.5,NA
NA,texas,0.530769230769231,2020,0.5,0.485,0.375,0.7366666666666667,0.5,NA
NA,indiana,0.446923076923077,2020,0,0.5025,0.625,0.85,0.75,NA
NA,texas,0.299230769230769,2020,0,0.38,0.25,0.6233333333333333,0,NA
NA,michigan,0.393846153846154,2020,0.25,0.3375,0.375,0.6733333333333333,0.25,NA
NA,michigan,0.388461538461538,2020,0.25,0.3175,0.625,0.51,0.5,NA
NA,wisconsin,0.690769230769231,2020,0.75,0.505,0.875,0.7366666666666667,0.5,NA
Democrat,pennsylvania,0.815,2020,1,0.51,0.75,NA,0.5,NA
Independent,massachusetts,0.806153846153846,2020,1,0.63,0.875,0.7366666666666667,0,NA
NA,NA,0.779230769230769,2020,1,0.8375,0.625,0.51,0.25,NA
Independent,new jersey,NA,2020,NA,NA,NA,NA,0.75,NA
NA,illinois,NA,2020,NA,NA,NA,NA,0.5,NA
NA,ohio,0.750769230769231,2020,0.75,0.69,0.5,1,0.5,NA
Republican,kentucky,0.696153846153846,2020,0.75,0.755,0.75,0.51,0.5,NA
NA,texas,NA,2020,NA,NA,NA,NA,0.5,NA
Independent,maine,0.303846153846154,2020,0,0.44,0.5,0.39666666666666667,0.5,NA
Democrat,maryland,0.356923076923077,2020,0,0.38,0.625,0.6233333333333333,0.75,NA
NA,virginia,0.39,2020,0,0.4875,0.625,0.6233333333333333,0.5,NA
Republican,arizona,0.67,2020,0.5,0.75,0.75,0.7366666666666667,0.5,NA
NA,michigan,0.349230769230769,2020,0.25,0.3775,0.25,0.51,0.5,NA
NA,texas,0.587692307692308,2020,0.75,0.4425,0.5,0.6233333333333333,0.5,NA
Independent,colorado,0.433846153846154,2020,0.5,0.255,0.375,0.6233333333333333,0,NA
Democrat,massachusetts,NA,2020,NA,NA,NA,NA,0.25,NA
Independent,new york,0.375384615384615,2020,0.25,0.255,0.25,0.7866666666666666,0.75,NA
Democrat,pennsylvania,0.273076923076923,2020,0,0.255,0.5,0.51,0.5,NA
Democrat,new jersey,0.299230769230769,2020,0,0.46499999999999997,0.25,0.51,0.75,NA
NA,NA,0.375384615384615,2020,0,0.63,0,0.7866666666666666,0,NA
NA,tennessee,0.643846153846154,2020,0.5,0.63,0.5,0.95,0.5,NA
Republican,new york,NA,2020,NA,NA,NA,NA,0.5,NA
Independent,alaska,0.663076923076923,2020,0.75,0.59,0.375,0.8366666666666667,0.5,NA
Democrat,NA,0.706666666666667,2020,1,0.5366666666666666,0.375,NA,0.5,NA
Independent,florida,0.574615384615385,2020,0.75,0.40249999999999997,0.75,0.45333333333333337,0.75,0
Democrat,pennsylvania,0.459230769230769,2020,0.5,0.3175,0.5,0.5666666666666667,0.75,NA
NA,wisconsin,NA,2020,NA,NA,NA,NA,0.75,NA
Democrat,NA,0.581538461538462,2020,0.5,0.46499999999999997,0.5,0.9,0.25,NA
NA,ohio,0.848461538461538,2020,0.75,0.9625,0.75,0.8933333333333333,0.5,NA
Democrat,maryland,0.414615384615385,2020,0.5,0.33999999999999997,0.25,0.51,0.5,NA
Democrat,north carolina,0.606153846153846,2020,1,0.255,0.75,0.45333333333333337,0,NA
Independent,florida,0.406153846153846,2020,0.75,0.19,0.25,0.34,0.5,NA
NA,virginia,0.472307692307692,2020,0.5,0.33999999999999997,0.625,0.51,0.5,1
NA,ohio,0.376153846153846,2020,0,0.4425,0.625,0.6233333333333334,0.5,NA
NA,texas,0.671538461538462,2020,1,0.38,0.5,0.7366666666666667,0.5,NA
NA,NA,NA,2020,NA,NA,NA,NA,0.75,NA
NA,georgia,0.529230769230769,2020,0.75,0.38,0.5,0.45333333333333337,0.5,1
NA,missouri,0.889230769230769,2020,1,0.715,1,0.9,0.25,NA
Republican,kentucky,0.553076923076923,2020,0.5,0.48250000000000004,0.375,0.8366666666666667,0.25,NA
NA,ohio,0.523076923076923,2020,0.5,0.4425,0.75,0.51,0.5,NA
NA,ohio,0.257692307692308,2020,0,0.2925,0.75,0.22666666666666668,0.25,NA
Republican,louisiana,0.747692307692308,2020,1,0.565,0.625,0.7366666666666667,0.5,NA
NA,NA,0.433846153846154,2020,0.25,0.4425,0.5,0.6233333333333333,0.5,NA
NA,texas,0.593076923076923,2020,0.5,0.4625,0.75,0.7866666666666666,0.5,NA
Republican,new mexico,0.865384615384615,2020,1,0.5625,1,1,0.5,NA
Democrat,colorado,0.387692307692308,2020,0,0.5025,0.75,0.51,0.5,NA
NA,wisconsin,0.696153846153846,2020,0.5,0.75,0.75,0.85,0.25,NA
Republican,utah,NA,2020,NA,NA,NA,NA,0,NA
Independent,california,0.311538461538462,2020,0,0.38,0.5,0.51,0.5,NA
Democrat,new jersey,0.569230769230769,2020,0.25,0.525,0.875,0.85,0.75,NA
Independent,massachusetts,0.491538461538462,2020,0.5,0.38,0.5,0.6233333333333333,0.5,NA
NA,illinois,0.567692307692308,2020,0.75,0.5675,0.375,0.45333333333333337,0.5,NA
NA,tennessee,0.8625,2020,1,0.6166666666666667,0.75,1,1,NA
Republican,iowa,0.79,2020,1,0.5025,0.875,0.8366666666666667,0.25,NA
Democrat,florida,0.695384615384615,2020,1,0.8375,0.25,0.39666666666666667,0.75,NA
Democrat,new york,NA,2020,NA,NA,NA,NA,0.25,NA
NA,virginia,0.354615384615385,2020,0.25,0.38,0.375,0.44666666666666666,1,NA
Independent,new york,0.407692307692308,2020,0.25,0.46499999999999997,0.625,0.39666666666666667,0.5,NA
NA,wisconsin,0.536923076923077,2020,0.5,0.38,0.625,0.7366666666666667,0.5,NA
NA,texas,0.740769230769231,2020,1,0.7525,0.375,0.6233333333333333,1,NA
NA,minnesota,0.359090909090909,2020,0.25,0.38,0.375,0.68,0.5,NA
Democrat,arizona,0.452307692307692,2020,0.25,0.5425,0.25,0.7366666666666667,1,NA
NA,michigan,0.387692307692308,2020,0.25,0.44,0.375,0.51,0.5,NA
Democrat,new jersey,0.543076923076923,2020,0.75,0.3375,0.25,0.7366666666666667,0.5,NA
NA,missouri,0.912307692307692,2020,1,0.7525,1,0.95,0.5,NA
NA,NA,0.503846153846154,2020,0.25,0.625,0.25,0.85,0.5,NA
Republican,idaho,0.448333333333333,2020,0.5,0.40249999999999997,0.375,0.51,0.75,NA
NA,georgia,0.606153846153846,2020,1,0.63,0,0.4533333333333333,0.75,NA
Democrat,louisiana,0.463846153846154,2020,0.25,0.38,0.5,0.8366666666666667,0.5,NA
NA,texas,0.736153846153846,2020,1,0.46499999999999997,0.75,0.7366666666666667,0.5,NA
NA,texas,0.77,2020,1,0.75,0.75,0.5033333333333333,0.5,NA
Republican,california,0.208461538461538,2020,0,0.38,0,0.39666666666666667,0.25,NA
Democrat,maryland,0.598461538461538,2020,0.75,0.44,0.5,0.6733333333333333,0.5,NA
NA,virginia,0.35,2020,0.25,0.255,0.5,0.51,0.5,NA
NA,south carolina,0.67,2020,1,0.3975,0.625,0.6233333333333333,0.5,1
Republican,north carolina,0.613076923076923,2020,0.5,0.5025,0.875,0.7366666666666667,0.25,NA
NA,virginia,0.527692307692308,2020,0.75,0.4375,0.375,0.45333333333333337,0.5,NA
Independent,connecticut,0.453076923076923,2020,0.5,0.255,0.5,0.6233333333333333,0.25,NA
NA,georgia,NA,2020,NA,NA,NA,NA,1,NA
Independent,north carolina,0.633076923076923,2020,0.75,0.4425,0.625,0.7366666666666667,0.75,NA
NA,NA,0.746153846153846,2020,1,0.5,0.5,0.9,0.75,NA
Democrat,north carolina,0.759230769230769,2020,1,0.6875,0.625,0.6233333333333333,1,NA
NA,alabama,0.835384615384615,2020,0.75,0.715,1,1,0.5,NA
Democrat,new york,0.318461538461538,2020,0,0.46499999999999997,0.375,0.51,0.5,NA
Democrat,maryland,0.286153846153846,2020,0,0.40249999999999997,0.375,0.4533333333333333,0.5,NA
Republican,north carolina,0.824166666666667,2020,1,0.8375,0.75,0.68,1,NA
NA,michigan,0.562307692307692,2020,0.75,0.36,0.5,0.6233333333333333,0.5,NA
Independent,west virginia,0.457692307692308,2020,0.5,0.35750000000000004,0.25,0.6733333333333333,0.25,NA
NA,illinois,0.277692307692308,2020,0,0.5625,0,0.4533333333333333,0.5,NA
Democrat,new york,0.505384615384615,2020,0.25,0.38,0.75,0.85,0.5,NA
NA,texas,0.293076923076923,2020,0,0.255,0.375,0.68,0.75,0
Independent,colorado,0.407692307692308,2020,0.25,0.3175,0.75,0.51,0.25,NA
NA,ohio,0.543846153846154,2020,0.5,0.3175,0.625,0.85,0.5,NA
NA,NA,0.669230769230769,2020,0.5,0.7975,0.5,0.8366666666666667,0,NA
NA,wisconsin,0.53,2020,0.25,0.6925,0.625,0.6233333333333333,0,1
NA,NA,0.645714285714286,2020,0.75,0.51,0.5,NA,0.5,NA
Republican,florida,0.709230769230769,2020,0.75,0.775,0.625,0.6233333333333333,0.25,NA
NA,illinois,0.28,2020,0,0.4225,0.125,0.5666666666666667,0.5,NA
NA,georgia,0.608888888888889,2020,NA,0.59,0.625,0.6233333333333333,0.25,NA
Republican,colorado,0.497692307692308,2020,0.5,0.5675,0.25,0.5666666666666667,0.5,NA
Independent,new jersey,0.489230769230769,2020,0,0.5275,0.625,1,0.5,NA
NA,texas,NA,2020,NA,NA,NA,NA,0.75,NA
Independent,kentucky,0.580769230769231,2020,1,0.255,0.5,0.51,1,NA
Democrat,california,NA,2020,NA,NA,NA,NA,0,NA
NA,texas,0.363846153846154,2020,0,0.46499999999999997,0.5,0.6233333333333333,0.5,NA
Independent,california,0.543846153846154,2020,0.5,0.5075000000000001,0.5,0.68,0.5,NA
NA,michigan,0.336923076923077,2020,0.25,0.2975,0,0.73,0,NA
NA,NA,0.522307692307692,2020,0.5,0.65,0.5,0.39666666666666667,0.75,NA
Republican,kentucky,0.524615384615385,2020,0.5,0.3175,0.5,0.85,0.5,NA
Democrat,california,NA,2020,NA,NA,NA,NA,1,NA
Democrat,iowa,0.55,2020,0.5,0.4425,0.5,0.7933333333333333,0.5,NA
Republican,florida,0.645384615384615,2020,0.75,0.505,0.75,0.6233333333333333,0.25,NA
Independent,oregon,0.453076923076923,2020,0.5,0.4225,0.25,0.5666666666666667,0.25,NA
Democrat,new mexico,0.363846153846154,2020,0.25,0.33999999999999997,0.25,0.6233333333333333,0,NA
Democrat,new york,0.433846153846154,2020,0.25,0.38,0.625,0.6233333333333333,0.75,NA
Republican,florida,NA,2020,NA,NA,NA,NA,0.5,NA
Democrat,new york,0.478461538461538,2020,0.5,0.3775,0.25,0.7366666666666667,1,NA
Republican,california,0.543076923076923,2020,0.5,0.295,0.75,0.7933333333333333,0.5,NA
NA,missouri,0.816923076923077,2020,1,0.7775,0.5,0.8366666666666667,0.5,NA
NA,NA,0.51,2020,0.5,0.3175,0.5,0.7866666666666666,1,NA
NA,NA,0.644615384615385,2020,1,0.3775,0.5,0.6233333333333333,1,NA
NA,michigan,0.478461538461538,2020,0.25,0.38,0.5,0.9,1,NA
Democrat,nebraska,0.195384615384615,2020,0,0.17,0.25,0.45333333333333337,0.5,NA
NA,wisconsin,0.604615384615385,2020,0.75,0.44,0.125,0.95,1,NA
Republican,florida,0.631538461538461,2020,0.5,0.46499999999999997,0.75,0.95,0.75,NA
Democrat,massachusetts,0.619230769230769,2020,1,0.255,0.75,0.51,0.5,NA
Republican,pennsylvania,0.569230769230769,2020,0.75,0.255,0.5,0.7933333333333333,0.5,NA
NA,alabama,0.15,2020,0,0.255,0.125,0.22666666666666668,0.5,NA
NA,ohio,0.601,2020,0.75,0.3775,0.75,NA,0.5,NA
NA,alabama,NA,2020,NA,NA,NA,NA,0.5,NA
Democrat,pennsylvania,0.479230769230769,2020,0.5,0.425,0.5,0.51,0.75,NA
Independent,new hampshire,NA,2020,NA,NA,NA,NA,0.75,NA
Republican,florida,0.491538461538462,2020,0.5,0.3175,0.625,0.6233333333333333,0.5,NA
Republican,florida,0.466153846153846,2020,0.25,0.5275,0.125,0.9,0,NA
NA,texas,0.757692307692308,2020,0.75,0.525,0.875,1,0.25,NA
Republican,oklahoma,0.823076923076923,2020,0.75,0.875,0.75,0.9,0.5,NA
Democrat,colorado,0.671538461538462,2020,0.75,0.5700000000000001,0.375,0.9,1,NA
Independent,north carolina,0.568461538461538,2020,0.75,0.3175,0.625,0.6233333333333333,0.5,NA
NA,south carolina,0.600769230769231,2020,0.5,0.5875,0.625,0.7366666666666667,0.5,NA
Democrat,california,0.143076923076923,2020,0,0.17,0.25,0.22666666666666668,0.75,NA
Independent,oklahoma,0.562307692307692,2020,0.75,0.3575,0.25,0.7933333333333333,0.5,NA
Democrat,california,0.317692307692308,2020,0,0.33999999999999997,0.375,0.6733333333333333,0,NA
NA,alabama,0.586923076923077,2020,0.75,0.38,0.375,0.7866666666666667,0,NA
NA,georgia,NA,2020,NA,NA,NA,NA,0.75,NA
NA,hawaii,0.808461538461538,2020,1,0.7525,0.25,1,0.5,NA
NA,michigan,0.664615384615385,2020,1,0.46499999999999997,0.625,0.51,0.5,NA
NA,alabama,0.593846153846154,2020,0.5,0.38,0.75,0.9,0.5,NA
Republican,pennsylvania,0.472307692307692,2020,0.5,0.40249999999999997,0.5,0.51,0.5,NA
Independent,florida,0.500769230769231,2020,0.25,0.5,0.5,0.8366666666666667,1,NA
Independent,nebraska,NA,2020,NA,NA,NA,NA,0.5,NA
NA,NA,0.491538461538462,2020,0.5,0.40249999999999997,0.625,0.51,1,NA
NA,mississippi,0.395384615384615,2020,0,0.505,0.625,0.6233333333333333,0.25,NA
Democrat,nebraska,0.716923076923077,2020,1,0.425,0.875,0.6233333333333334,0.75,NA
NA,virginia,NA,2020,NA,NA,NA,NA,0.5,NA
Independent,new hampshire,0.638461538461538,2020,1,0.38,0.625,0.51,0.25,NA
NA,indiana,0.467692307692308,2020,0,0.55,0.75,0.7933333333333333,0.75,NA
Democrat,new york,0.383076923076923,2020,0.25,0.46499999999999997,0.125,0.6233333333333333,1,NA
Independent,new jersey,0.683076923076923,2020,1,0.5875,0.5,0.51,0.5,NA
Republican,california,0.405384615384615,2020,0,0.38,0.375,1,0.5,NA
Republican,florida,NA,2020,NA,NA,NA,NA,0.5,NA
Republican,florida,0.818461538461538,2020,1,0.7525,0.625,0.7933333333333333,0.75,1
Democrat,new york,0.176153846153846,2020,0,0.255,0.125,0.34,0.5,NA
Democrat,oregon,0.656153846153846,2020,0.75,0.625,0.75,0.51,0.75,NA
Republican,utah,0.580769230769231,2020,0.25,0.55,0.75,0.95,0,NA
Independent,colorado,0.381538461538462,2020,0,0.4825,0.75,0.51,0.5,NA
Republican,colorado,0.786153846153846,2020,1,0.63,0.5,0.9,0,NA
Republican,kentucky,NA,2020,NA,NA,NA,NA,0.25,NA
NA,indiana,0.518461538461538,2020,0.5,0.46499999999999997,0.25,0.7933333333333333,0.75,NA
Democrat,kentucky,0.632307692307692,2020,0.75,0.38,0.5,0.9,0.5,NA
NA,wisconsin,0.680769230769231,2020,0.25,0.875,0.75,0.95,0.5,NA
NA,NA,0.465384615384615,2020,0.75,0.3175,0.125,0.51,0.25,NA
NA,texas,0.573076923076923,2020,0.25,0.5875,0.625,0.95,0.5,NA
Democrat,california,0.478461538461538,2020,0.75,0.255,0.25,0.5666666666666667,0.5,NA
Democrat,california,0.299230769230769,2020,0.25,0.33999999999999997,0,0.51,0.5,NA
NA,michigan,0.572307692307692,2020,0.5,0.6875,0.25,0.73,0.5,NA
Independent,florida,0.658461538461538,2020,1,0.46499999999999997,0.5,0.5666666666666667,0.75,NA
Republican,new york,0.696923076923077,2020,1,0.6325000000000001,0.5,0.51,0.5,NA
Independent,utah,0.555384615384615,2020,0.5,0.4425,0.375,0.9,0.25,NA
Democrat,pennsylvania,0.332307692307692,2020,0,0.255,0.375,0.85,0.5,NA
NA,NA,0.6,2020,0.75,0.4425,0.75,0.51,0.25,NA
Democrat,florida,0.595384615384615,2020,0.75,0.36,0.375,0.85,0.5,NA
Democrat,louisiana,0.0714285714285714,2020,0,0,0.25,NA,1,NA
Republican,arkansas,0.483846153846154,2020,0,0.5075000000000001,0.875,0.8366666666666667,0.25,NA
NA,illinois,0.586923076923077,2020,0.5,0.7125,0.625,0.51,0.75,1
Democrat,oregon,0.349230769230769,2020,0.25,0.3775,0.25,0.51,0.75,NA
Democrat,maryland,0.451538461538462,2020,0.5,0.3175,0.375,0.6166666666666667,0.5,NA
Republican,maryland,0.483846153846154,2020,0.5,0.5025,0.375,0.51,0.5,NA
NA,virginia,0.530769230769231,2020,0.5,0.46499999999999997,0.5,0.68,0.25,NA
Democrat,new york,0.351538461538462,2020,0,0.3175,0.375,0.85,0.75,NA
Independent,new jersey,0.517692307692308,2020,0.5,0.46499999999999997,0.5,0.6233333333333333,0,NA
NA,georgia,0.625384615384615,2020,1,0.38,0.625,0.45333333333333337,0.75,NA
Independent,iowa,0.440769230769231,2020,0.25,0.5275,0.375,0.6233333333333333,0.5,NA
Independent,massachusetts,0.369230769230769,2020,0.25,0.3175,0.5,0.51,0.5,NA
NA,michigan,0.420769230769231,2020,0.25,0.255,0.375,0.9,0.5,NA
NA,indiana,0.640909090909091,2020,0.75,0.51,0.75,0.51,0,NA
Republican,NA,0.726153846153846,2020,0.5,0.9375,0.75,0.73,0.5,NA
Republican,california,0.716923076923077,2020,0.75,0.505,0.875,0.85,0.75,NA
Democrat,arkansas,0.677692307692308,2020,1,0.505,0.375,0.68,0.5,NA
NA,NA,0.312307692307692,2020,0,0.59,0,0.5666666666666667,1,NA
