party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President,women.media,women.disc,women.hire,women.opp
NA,1,2,NA,2,2,1,1,5,2,6,7,4,4,4,5,5,2020,Evangelical,Biden,NA,NA,NA,NA
NA,NA,3,NA,2,2,1,1,4,2,7,6,6,2,4,5,5,2020,Other Christian,NA,NA,NA,NA,NA
2,NA,1,NA,2,1,2,1,5,1,4,4,4,5,7,3,3,2020,Not Religious,Trump,NA,NA,NA,NA
4,34,3,NA,2,1,2,1,4,2,4,4,4,6,4,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
2,36,3,NA,2,2,1,2,3,3,4,4,4,4,4,3,4,2020,Evangelical,NA,NA,NA,NA,NA
4,36,2,NA,1,1,2,1,5,4,4,3,3,4,4,NA,NA,2020,Not Religious,Other,NA,NA,NA,NA
1,34,1,2,2,1,1,1,5,2,4,4,4,6,2,4,4,2020,Roman Catholic,NA,NA,NA,NA,NA
4,36,3,NA,1,2,2,1,1,1,2,2,2,2,1,2,3,2020,Not Religious,NA,NA,NA,NA,NA
NA,17,1,NA,1,1,2,1,3,4,3,2,6,4,4,5,4,2020,Not Religious,Biden,NA,NA,NA,NA
1,36,3,2,2,1,2,1,4,5,4,2,4,4,4,5,5,2020,Not Religious,NA,NA,NA,NA,NA
4,21,3,NA,2,1,1,2,5,4,6,5,5,4,4,4,5,2020,Not Religious,Biden,NA,NA,NA,NA
NA,17,3,NA,2,2,1,2,4,3,4,4,6,6,4,4,4,2020,Roman Catholic,Trump,NA,NA,NA,NA
2,25,3,NA,2,2,1,2,1,1,4,4,4,6,1,1,1,2020,Mainline,Trump,NA,NA,NA,NA
2,12,1,NA,2,2,1,2,3,1,7,7,6,4,4,4,1,2020,Roman Catholic,Trump,NA,NA,NA,NA
2,8,4,NA,2,2,2,1,5,1,7,7,7,6,2,2,3,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
NA,13,4,NA,1,1,2,2,4,4,4,6,6,6,6,3,3,2020,Other Christian,Biden,NA,NA,NA,NA
NA,13,2,NA,2,2,2,1,3,4,7,4,6,3,4,3,3,2020,Mainline,Biden,NA,NA,NA,NA
4,37,4,NA,2,1,1,1,3,1,5,6,6,6,4,4,4,2020,Evangelical,Trump,NA,NA,NA,NA
2,12,3,NA,1,1,1,1,4,1,1,4,6,4,4,5,5,2020,Other Christian,NA,NA,NA,NA,NA
1,36,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Roman Catholic,NA,NA,NA,NA,NA
NA,47,3,NA,2,2,1,1,4,2,6,4,5,4,4,4,4,2020,Evangelical,NA,NA,NA,NA,NA
4,25,3,NA,2,2,2,2,3,1,7,7,7,7,1,2,1,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
NA,48,2,NA,1,1,2,1,3,1,4,6,7,4,4,2,2,2020,Mainline,Trump,NA,NA,NA,NA
4,25,3,NA,2,1,1,1,2,2,5,4,4,7,2,4,4,2020,Jewish,Biden,NA,NA,NA,NA
NA,51,3,2,2,1,2,1,3,1,4,1,4,4,4,5,4,2020,Mainline,NA,NA,NA,NA,NA
1,23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA,NA,NA,NA,NA
2,41,3,NA,1,1,2,1,4,3,4,2,6,4,4,5,5,2020,Other Christian,Biden,NA,NA,NA,NA
2,6,3,NA,2,1,2,1,2,1,5,5,7,6,2,3,3,2020,Evangelical,Trump,NA,NA,NA,NA
NA,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA,NA,NA,NA,NA
NA,26,3,NA,1,1,2,1,5,4,5,4,4,5,3,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
1,25,3,NA,2,1,1,1,3,4,5,6,4,4,4,4,3,2020,Other Christian,Biden,NA,NA,NA,NA
4,12,3,NA,1,1,2,1,5,2,4,4,6,4,4,5,4,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA
1,41,3,NA,2,1,2,1,4,2,5,4,4,4,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
4,36,1,NA,1,2,1,2,5,2,4,4,4,4,4,3,2,2020,Roman Catholic,NA,NA,NA,NA,NA
NA,53,3,NA,1,1,2,1,4,3,2,1,4,4,4,5,5,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA
NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA
NA,18,5,2,1,1,2,1,5,5,6,6,4,4,4,5,4,2020,Other Christian,NA,NA,NA,NA,NA
1,6,2,NA,2,1,2,1,4,5,6,2,6,4,4,5,5,2020,Other Religion,Biden,NA,NA,NA,NA
NA,53,4,NA,2,1,2,1,4,4,4,6,4,7,4,4,4,2020,Not Religious,Biden,NA,NA,NA,NA
4,25,3,NA,2,2,2,2,5,3,4,4,4,4,4,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,48,3,NA,2,2,1,2,1,1,4,7,7,7,1,3,5,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
2,36,2,NA,2,2,1,1,3,2,4,6,5,6,4,4,4,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
1,25,3,NA,2,2,2,1,5,3,2,6,7,7,7,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
4,4,3,NA,1,1,2,2,1,1,4,4,4,4,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
2,42,3,NA,2,2,1,1,3,1,4,5,7,7,1,2,2,2020,Evangelical,Trump,NA,NA,NA,NA
NA,26,3,NA,1,1,2,1,3,4,4,6,6,6,4,4,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
4,49,5,NA,2,1,1,2,4,3,4,7,6,6,4,5,5,2020,Other Christian,NA,NA,NA,NA,NA
2,32,3,NA,1,1,2,2,5,2,2,4,6,6,2,4,3,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
1,22,5,NA,2,2,1,2,3,5,5,5,5,4,4,5,5,2020,Evangelical,Biden,NA,NA,NA,NA
NA,53,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA
2,12,4,NA,2,1,2,1,5,1,7,7,6,7,2,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
4,6,3,NA,1,1,2,1,5,4,4,4,4,4,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
NA,51,3,NA,2,2,1,2,2,1,6,7,7,4,2,3,4,2020,Evangelical,Trump,NA,NA,NA,NA
NA,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Mainline,NA,NA,NA,NA,NA
1,6,3,NA,2,2,1,1,5,3,7,7,7,7,1,5,5,2020,Mainline,Biden,NA,NA,NA,NA
NA,29,3,NA,2,2,1,2,3,1,4,5,5,6,2,3,3,2020,Mainline,Trump,NA,NA,NA,NA
NA,27,2,1,1,1,2,1,5,4,4,4,4,4,4,5,4,2020,Other Christian,NA,NA,NA,NA,NA
2,6,3,NA,2,2,1,1,2,3,4,6,4,4,4,4,4,2020,Other Christian,Trump,NA,NA,NA,NA
4,25,4,NA,1,1,2,1,4,2,4,2,6,7,4,5,5,2020,Other Christian,Biden,NA,NA,NA,NA
1,25,4,NA,1,1,2,1,3,2,4,2,4,4,4,4,4,2020,Jewish,Biden,NA,NA,NA,NA
2,12,3,NA,2,2,1,2,5,5,1,6,7,6,1,1,3,2020,Other Christian,Trump,NA,NA,NA,NA
NA,29,3,NA,2,1,2,1,4,1,5,7,7,7,4,5,4,2020,Evangelical,Trump,NA,NA,NA,NA
4,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Roman Catholic,NA,NA,NA,NA,NA
1,24,4,NA,1,1,2,1,2,1,4,4,4,4,4,4,5,2020,NA,NA,NA,NA,NA,NA
NA,29,3,NA,2,2,2,2,3,1,6,7,7,4,4,4,4,2020,Evangelical,Trump,NA,NA,NA,NA
NA,48,4,NA,2,2,1,2,4,1,6,6,6,6,2,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,48,5,NA,1,1,2,1,5,5,4,2,4,4,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
2,42,3,NA,2,1,2,1,4,2,7,6,7,4,4,5,2,2020,Roman Catholic,NA,NA,NA,NA,NA
1,42,2,NA,2,1,2,1,3,3,6,4,4,4,4,5,4,2020,Mainline,NA,NA,NA,NA,NA
1,34,3,NA,2,2,1,2,5,1,4,3,2,6,6,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
1,12,4,NA,2,1,2,1,5,5,4,4,4,7,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
NA,38,3,NA,1,1,1,1,2,2,4,4,6,6,4,4,4,2020,Other Christian,Trump,NA,NA,NA,NA
NA,27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA,NA,NA,NA,NA
4,34,3,NA,1,1,2,1,2,2,6,6,6,4,1,3,4,2020,Other Christian,NA,NA,NA,NA,NA
2,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Mainline,NA,NA,NA,NA,NA
2,12,3,NA,2,2,1,1,3,2,6,6,4,6,4,4,4,2020,Roman Catholic,Trump,NA,NA,NA,NA
NA,NA,1,NA,2,2,2,1,4,1,4,4,4,7,4,5,4,2020,Roman Catholic,NA,NA,NA,NA,NA
NA,27,5,2,1,1,2,1,5,1,4,4,7,4,4,5,5,2020,Other Religion,NA,NA,NA,NA,NA
NA,17,3,NA,2,2,1,2,3,4,4,4,4,4,4,3,5,2020,Roman Catholic,Trump,NA,NA,NA,NA
NA,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA,NA,NA,NA,NA
4,31,3,2,1,2,2,2,2,3,6,7,7,7,2,2,1,2020,NA,NA,NA,NA,NA,NA
4,36,1,NA,1,1,2,2,1,1,4,7,6,6,4,2,2,2020,Evangelical,Trump,NA,NA,NA,NA
NA,53,3,NA,1,1,2,1,5,2,6,4,6,4,4,5,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
4,37,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA
4,5,5,NA,1,1,2,1,4,1,4,4,4,4,4,4,4,2020,Not Religious,Biden,NA,NA,NA,NA
2,33,2,NA,2,1,2,1,2,1,7,6,6,4,1,3,2,2020,Roman Catholic,Trump,NA,NA,NA,NA
2,6,3,NA,2,2,1,1,4,3,4,4,6,4,4,5,4,2020,Roman Catholic,Trump,NA,NA,NA,NA
NA,48,3,NA,2,2,2,1,3,4,4,4,4,4,4,3,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,51,2,NA,2,1,1,1,3,2,6,5,4,7,2,3,2,2020,Evangelical,Trump,NA,NA,NA,NA
1,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA,NA,NA,NA,NA
NA,39,3,NA,1,1,2,1,3,3,6,7,6,4,4,5,5,2020,Not Religious,NA,NA,NA,NA,NA
4,NA,4,NA,1,2,1,1,3,3,4,4,4,6,4,3,3,2020,Other Christian,NA,NA,NA,NA,NA
4,24,4,NA,2,2,1,2,3,2,6,4,4,6,1,3,3,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA,NA,NA,NA,NA
2,31,5,NA,2,1,1,1,2,3,4,4,5,4,4,4,3,2020,Other Christian,NA,NA,NA,NA,NA
1,8,3,NA,1,1,2,1,5,2,4,4,4,4,4,4,5,2020,Other Christian,Biden,NA,NA,NA,NA
2,6,2,NA,1,1,2,1,2,1,4,4,5,4,1,4,2,2020,Other Christian,Trump,NA,NA,NA,NA
2,35,2,NA,2,2,2,2,1,2,4,4,4,6,4,4,4,2020,Evangelical,Trump,NA,NA,NA,NA
NA,39,2,NA,2,2,1,1,3,1,6,4,4,4,4,4,4,2020,Mainline,Trump,NA,NA,NA,NA
NA,17,2,NA,2,2,1,1,4,2,7,7,5,4,4,2,3,2020,Other Christian,Trump,NA,NA,NA,NA
NA,53,4,NA,2,1,1,1,5,3,6,5,5,4,4,4,3,2020,Evangelical,Trump,NA,NA,NA,NA
NA,55,3,NA,1,1,2,1,5,4,4,1,2,4,4,3,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,55,3,NA,1,1,2,1,3,2,3,4,6,4,5,5,4,2020,Mainline,Biden,NA,NA,NA,NA
NA,29,3,NA,2,2,1,2,3,1,4,7,7,4,4,4,4,2020,Roman Catholic,Trump,NA,NA,NA,NA
4,37,3,NA,1,2,2,1,4,3,6,4,5,4,4,4,4,2020,Other Christian,Biden,NA,NA,NA,NA
4,49,3,NA,2,1,2,1,4,3,4,7,7,7,1,4,4,2020,Other Christian,Biden,NA,NA,NA,NA
2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA,NA,NA,NA,NA
NA,NA,3,NA,2,1,2,2,3,2,4,4,4,6,4,2,4,2020,Not Religious,NA,NA,NA,NA,NA
NA,48,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA,NA,NA,NA,NA
4,42,3,NA,2,1,2,1,3,2,5,6,5,4,4,5,4,2020,Mainline,NA,NA,NA,NA,NA
1,6,3,NA,1,1,2,1,5,4,4,4,4,4,5,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
NA,18,4,NA,1,1,2,1,5,4,4,6,6,4,4,5,3,2020,Mainline,Biden,NA,NA,NA,NA
NA,39,4,NA,2,2,1,2,3,3,5,4,5,7,4,2,3,2020,Roman Catholic,NA,NA,NA,NA,NA
NA,NA,3,NA,2,2,2,1,3,2,6,4,4,6,4,4,5,2020,Not Religious,NA,NA,NA,NA,NA
1,36,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Roman Catholic,NA,NA,NA,NA,NA
NA,17,3,NA,1,1,2,1,3,1,4,6,6,6,4,5,4,2020,Not Religious,Biden,NA,NA,NA,NA
2,6,2,NA,2,2,2,1,3,2,6,7,7,6,2,4,4,2020,Mainline,Trump,NA,NA,NA,NA
1,42,5,NA,2,2,1,1,3,2,6,5,6,6,7,4,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Roman Catholic,NA,NA,NA,NA,NA
2,12,3,NA,2,1,2,1,4,2,6,6,6,6,2,4,4,2020,Mainline,Trump,NA,NA,NA,NA
2,19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA
4,36,3,NA,1,2,1,1,5,3,4,6,5,6,4,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
1,6,2,NA,2,2,2,1,4,2,5,5,4,6,2,2,2,2020,Not Religious,Biden,NA,NA,NA,NA
NA,NA,4,NA,2,2,2,1,4,2,6,4,4,6,3,5,4,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA
NA,15,3,2,2,2,1,2,2,2,7,7,6,6,4,4,4,2020,NA,NA,NA,NA,NA,NA
NA,13,3,NA,2,2,2,1,3,1,6,4,6,6,4,4,3,2020,Roman Catholic,NA,NA,NA,NA,NA
1,6,3,NA,2,1,2,1,3,2,4,4,4,4,4,4,4,2020,Other Christian,Biden,NA,NA,NA,NA
NA,29,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA,NA,NA,NA,NA
1,6,3,NA,2,2,2,1,3,4,4,4,4,4,4,5,5,2020,Jewish,Biden,NA,NA,NA,NA
NA,NA,2,NA,1,1,2,1,5,3,6,4,7,4,4,4,3,2020,Not Religious,NA,NA,NA,NA,NA
NA,51,3,NA,2,2,2,1,4,3,6,6,6,4,4,5,4,2020,Evangelical,Biden,NA,NA,NA,NA
4,22,4,NA,2,2,2,2,4,4,4,6,5,5,4,5,4,2020,Not Religious,NA,NA,NA,NA,NA
2,37,3,NA,1,2,1,2,3,3,4,4,4,4,3,5,5,2020,Evangelical,NA,NA,NA,NA,NA
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Mainline,NA,NA,NA,NA,NA
NA,48,2,NA,2,2,1,2,3,1,4,4,4,4,4,4,4,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA
1,25,3,NA,1,1,2,1,4,4,4,2,6,5,4,5,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
1,4,3,NA,2,1,2,1,5,5,4,1,2,7,4,5,5,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA
NA,39,2,NA,2,1,2,1,3,1,4,6,5,4,4,5,3,2020,Not Religious,Trump,NA,NA,NA,NA
4,12,4,NA,2,2,2,NA,3,1,6,7,7,7,4,2,2,2020,Roman Catholic,Trump,NA,NA,NA,NA
1,9,3,NA,1,1,2,1,5,3,6,2,7,4,4,5,5,2020,Mainline,Biden,NA,NA,NA,NA
4,16,3,NA,2,1,1,1,4,3,4,4,4,7,2,5,5,2020,Evangelical,Biden,NA,NA,NA,NA
2,49,3,NA,2,2,1,1,5,1,6,6,6,4,2,5,3,2020,Other Christian,Trump,NA,NA,NA,NA
4,36,4,NA,2,2,1,2,3,2,7,7,7,6,4,4,4,2020,Mainline,Trump,NA,NA,NA,NA
4,8,3,NA,1,1,2,1,4,5,6,1,1,6,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
1,34,3,NA,1,1,2,1,5,3,1,1,2,4,7,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
NA,NA,3,NA,1,2,1,1,4,1,6,5,7,4,4,4,2,2020,Mainline,Trump,NA,NA,NA,NA
NA,53,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Mainline,NA,NA,NA,NA,NA
2,41,2,NA,1,1,2,1,4,3,4,7,7,4,4,3,3,2020,Evangelical,Trump,NA,NA,NA,NA
1,6,4,NA,2,2,1,2,4,3,NA,5,5,6,4,3,4,2020,Not Religious,Biden,NA,NA,NA,NA
NA,48,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA
NA,48,3,NA,1,1,2,1,4,2,4,4,4,4,4,5,5,2020,Other Christian,Biden,NA,NA,NA,NA
1,21,3,NA,1,1,2,1,5,3,7,7,7,4,4,5,4,2020,Mainline,Biden,NA,NA,NA,NA
NA,26,3,NA,1,1,2,1,3,1,4,4,4,4,4,5,4,2020,Jewish,Biden,NA,NA,NA,NA
1,36,3,NA,1,2,2,2,4,1,4,4,4,7,4,4,3,2020,Roman Catholic,Biden,NA,NA,NA,NA
4,23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Religion,NA,NA,NA,NA,NA
1,12,3,NA,1,1,2,2,4,3,6,4,6,7,4,5,3,2020,Not Religious,Biden,NA,NA,NA,NA
NA,27,1,NA,2,2,NA,1,2,2,5,6,7,6,2,4,4,2020,Evangelical,Trump,NA,NA,NA,NA
NA,48,2,NA,2,2,1,2,3,1,4,7,7,4,1,2,2,2020,Roman Catholic,Trump,NA,NA,NA,NA
NA,45,3,NA,2,2,1,1,5,3,4,5,5,7,1,4,4,2020,Roman Catholic,Trump,NA,NA,NA,NA
NA,18,3,NA,1,1,2,1,4,3,6,6,6,5,4,4,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
4,6,4,NA,2,1,2,1,3,3,4,4,4,4,4,3,3,2020,Not Religious,Other,NA,NA,NA,NA
2,54,1,NA,2,2,1,2,2,1,4,7,6,6,2,2,2,2020,Evangelical,Trump,NA,NA,NA,NA
1,42,2,NA,1,1,2,1,5,2,4,3,6,4,4,5,5,2020,Not Religious,NA,NA,NA,NA,NA
2,20,3,NA,2,2,1,2,3,2,6,6,6,6,4,5,3,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
NA,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA,NA,NA,NA,NA
2,12,5,NA,2,1,1,1,2,2,1,4,4,6,4,5,5,2020,Mainline,Biden,NA,NA,NA,NA
2,36,3,NA,2,1,2,1,3,1,6,6,5,4,4,5,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
4,9,4,NA,2,2,2,1,4,3,6,6,4,4,4,4,4,2020,Mainline,Trump,NA,NA,NA,NA
2,12,3,NA,1,1,2,2,1,2,4,4,7,4,4,4,4,2020,Not Religious,Jorgensen,NA,NA,NA,NA
NA,17,3,NA,2,1,2,1,3,1,6,7,7,6,4,2,3,2020,Roman Catholic,NA,NA,NA,NA,NA
NA,13,4,NA,1,1,1,1,5,3,6,4,6,4,4,5,5,2020,Other Christian,Biden,NA,NA,NA,NA
1,40,5,NA,1,1,2,1,5,1,7,2,4,4,4,5,5,2020,Mainline,Biden,NA,NA,NA,NA
4,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA,NA,NA,NA,NA
NA,27,5,NA,1,1,2,1,3,3,4,1,6,6,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
NA,39,2,NA,1,1,2,1,5,4,6,4,4,4,4,5,5,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA
1,6,3,NA,1,1,2,1,4,4,4,2,4,4,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
NA,26,3,NA,2,2,1,2,5,1,4,4,6,6,2,5,4,2020,Evangelical,Biden,NA,NA,NA,NA
1,41,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA,NA,NA,NA,NA
2,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Mainline,Trump,NA,NA,NA,NA
NA,39,2,NA,2,2,1,2,1,1,4,5,5,6,1,4,4,2020,Evangelical,Trump,NA,NA,NA,NA
2,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Roman Catholic,NA,NA,NA,NA,NA
NA,29,4,NA,2,2,1,2,3,3,4,4,4,4,4,3,3,2020,Other Christian,NA,NA,NA,NA,NA
1,31,3,NA,1,1,2,1,5,4,5,1,7,7,4,5,5,2020,Evangelical,Biden,NA,NA,NA,NA
NA,26,4,NA,1,2,1,1,3,1,4,1,4,4,4,5,5,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA
NA,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA
NA,45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Black Protestant,NA,NA,NA,NA,NA
2,36,3,NA,2,2,1,1,5,2,4,7,7,4,4,2,4,2020,Evangelical,Refused,NA,NA,NA,NA
NA,29,1,NA,1,1,2,1,3,4,4,4,4,6,6,3,3,2020,Evangelical,Biden,NA,NA,NA,NA
NA,51,3,1,1,2,1,2,2,3,4,5,6,5,2,4,3,2020,Other Christian,NA,NA,NA,NA,NA
NA,51,3,NA,2,2,2,1,4,3,4,6,4,6,3,4,4,2020,Evangelical,Trump,NA,NA,NA,NA
4,41,3,NA,2,2,2,1,2,1,4,4,6,7,1,1,2,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
4,NA,3,NA,2,2,1,1,5,3,4,4,4,6,2,4,4,2020,Evangelical,Trump,NA,NA,NA,NA
NA,39,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA,NA,NA,NA,NA
NA,55,2,NA,2,2,2,1,5,1,6,6,6,6,4,4,5,2020,Evangelical,Trump,NA,NA,NA,NA
NA,39,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA
NA,39,5,NA,2,2,1,2,1,5,7,7,7,4,4,2,2,2020,Not Religious,Trump,NA,NA,NA,NA
1,6,3,NA,1,1,1,1,4,2,5,2,5,5,4,5,4,2020,Not Religious,Biden,NA,NA,NA,NA
2,54,4,NA,1,2,1,1,3,1,4,2,6,2,2,1,2,2020,Evangelical,NA,NA,NA,NA,NA
NA,48,4,NA,2,2,1,1,3,2,4,4,4,1,7,5,2,2020,Evangelical,Trump,NA,NA,NA,NA
2,36,2,NA,2,1,1,2,4,1,4,4,7,7,1,5,3,2020,Evangelical,NA,NA,NA,NA,NA
2,12,2,NA,2,2,1,1,5,2,6,7,7,4,4,3,2,2020,Roman Catholic,Trump,NA,NA,NA,NA
1,41,3,NA,1,1,1,1,4,4,4,4,4,4,6,5,5,2020,Other Christian,Biden,NA,NA,NA,NA
2,12,3,NA,2,1,1,1,5,3,6,7,7,6,4,5,5,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
2,49,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA,NA,NA,NA,NA
2,6,4,NA,2,2,2,1,4,1,6,6,7,6,1,4,3,2020,Other Religion,Trump,NA,NA,NA,NA
NA,39,3,NA,1,1,1,1,4,5,7,4,4,4,4,4,4,2020,Not Religious,Biden,NA,NA,NA,NA
NA,NA,4,NA,2,2,2,2,4,1,6,6,6,6,1,3,2,2020,Roman Catholic,NA,NA,NA,NA,NA
NA,13,3,NA,2,2,1,2,1,4,6,4,2,2,4,1,1,2020,Evangelical,Biden,NA,NA,NA,NA
NA,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA
2,36,3,NA,2,2,1,1,3,4,4,4,4,4,4,4,3,2020,Jewish,Trump,NA,NA,NA,NA
1,36,2,NA,2,2,1,1,1,1,4,4,4,7,1,5,3,2020,Jewish,Trump,NA,NA,NA,NA
1,40,5,2,2,2,1,1,1,1,1,1,6,2,6,1,2,2020,Evangelical,NA,NA,NA,NA,NA
1,6,2,NA,2,2,2,2,4,1,7,7,7,7,1,3,3,2020,Mainline,Biden,NA,NA,NA,NA
2,36,3,NA,2,2,1,2,2,2,6,1,6,4,4,2,3,2020,Roman Catholic,Trump,NA,NA,NA,NA
4,21,2,NA,2,2,1,2,3,1,5,6,4,6,1,3,4,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
NA,51,3,NA,2,2,1,2,3,2,7,6,7,6,2,4,3,2020,Evangelical,Biden,NA,NA,NA,NA
NA,48,3,NA,2,2,2,2,4,3,4,6,4,6,1,4,4,2020,Roman Catholic,Trump,NA,NA,NA,NA
1,6,4,NA,2,1,1,1,5,4,6,6,7,4,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
2,12,2,NA,2,2,2,1,3,1,NA,NA,NA,4,4,3,4,2020,Mainline,Trump,NA,NA,NA,NA
2,8,1,NA,2,2,2,2,2,1,4,6,6,4,4,2,3,2020,Other Christian,Trump,NA,NA,NA,NA
