party,state,finance.better,child.indep,child.curio,child.obed,child.consid,us.world,women.child,women.work,women.media,women.favors,women.comp,year,Religion,President
2,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
1,4,2,1,1,2,1,5,5,1,4,5,5,2016,Not Religious,Hilary Clinton
2,8,3,2,1,1,1,2,5,4,4,4,4,2016,Other Christian,Donald Trump
1,25,2,2,1,1,2,2,NA,2,4,NA,4,2016,Catholic,Hilary Clinton
NA,28,3,2,2,1,3,3,4,4,6,3,4,2016,Mainline,Donald Trump
NA,17,3,2,2,2,1,4,4,4,4,4,2,2016,Evangelical,Donald Trump
NA,48,3,2,2,2,2,3,6,4,2,4,3,2016,Other Christian,Hilary Clinton
NA,47,4,2,1,1,1,3,5,4,4,3,4,2016,Evangelical,NA
NA,NA,3,3,3,3,3,2,6,2,1,5,4,2016,Catholic,NA
1,25,2,2,1,2,1,4,4,4,1,4,5,2016,Catholic,Hilary Clinton
NA,NA,4,3,3,3,3,2,3,4,4,4,4,2016,Evangelical,Hilary Clinton
NA,48,2,2,1,1,1,4,4,4,1,5,5,2016,Evangelical,NA
NA,48,1,1,2,2,1,4,6,3,2,5,4,2016,Not Religious,Hilary Clinton
1,6,3,2,2,2,1,3,6,4,2,5,5,2016,Not Religious,Hilary Clinton
4,11,3,3,3,3,3,5,4,4,1,5,4,2016,Not Religious,NA
1,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA
2,22,4,2,2,2,2,3,7,1,1,5,1,2016,Not Religious,Donald Trump
1,37,3,2,2,1,1,2,6,2,4,2,2,2016,Evangelical,Donald Trump
NA,17,1,2,2,2,2,2,4,4,4,4,3,2016,Catholic,Donald Trump
NA,48,2,2,2,1,2,2,7,2,2,4,4,2016,Not Religious,NA
1,12,3,2,1,2,1,4,5,4,1,5,5,2016,Not Religious,Hilary Clinton
1,6,1,1,1,2,1,3,4,4,4,4,4,2016,Jewish,Hilary Clinton
1,6,2,1,1,2,1,5,6,4,2,4,5,2016,Not Religious,Hilary Clinton
NA,51,2,2,1,1,1,3,2,1,6,4,5,2016,Other Christian,Hilary Clinton
NA,13,4,2,3,2,2,3,7,1,NA,4,4,2016,Mainline,Donald Trump
1,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA
1,24,3,2,2,2,1,5,4,4,4,5,3,2016,Not Religious,Hilary Clinton
NA,39,4,2,2,1,2,3,4,4,4,4,4,2016,Other Christian,Donald Trump
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Black Protestant,NA
1,35,3,2,2,2,2,1,7,3,2,3,4,2016,Catholic,Gary Johnson
2,23,2,2,1,2,1,2,5,4,4,4,3,2016,Jewish,NA
1,24,3,1,1,2,1,5,4,4,1,5,5,2016,Other Christian,Hilary Clinton
NA,48,2,1,2,2,1,3,4,2,4,4,4,2016,Not Religious,Donald Trump
2,20,3,2,2,1,2,1,4,2,4,3,3,2016,Mainline,Donald Trump
4,8,3,2,1,2,1,5,4,4,4,4,3,2016,Mainline,Donald Trump
NA,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
4,12,2,2,1,1,1,3,6,1,4,3,2,2016,Evangelical,Donald Trump
NA,47,5,2,2,2,2,2,4,1,7,2,1,2016,Evangelical,NA
1,11,2,2,1,2,1,5,4,4,1,5,5,2016,Catholic,Hilary Clinton
4,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA
2,5,4,1,1,1,1,5,5,4,5,4,4,2016,Other Christian,NA
1,6,3,2,1,2,1,4,6,4,2,5,5,2016,Catholic,Hilary Clinton
1,6,2,2,1,2,1,2,4,4,2,5,4,2016,Other Christian,Hilary Clinton
NA,NA,4,1,1,2,1,3,4,4,4,3,3,2016,Not Religious,NA
2,6,1,2,2,1,2,3,6,1,2,2,3,2016,Catholic,NA
1,6,2,1,1,2,1,5,4,4,1,5,5,2016,Catholic,Hilary Clinton
NA,48,4,1,2,2,2,3,7,1,6,2,3,2016,Other Christian,Donald Trump
1,37,2,2,2,2,1,2,6,4,1,4,4,2016,Evangelical,Hilary Clinton
1,37,3,1,1,2,1,3,4,4,1,5,5,2016,Not Religious,Hilary Clinton
NA,48,3,2,2,1,2,3,6,4,4,3,3,2016,Mainline,Donald Trump
1,8,1,2,1,1,1,5,6,2,1,4,4,2016,Not Religious,Hilary Clinton
NA,NA,5,2,2,1,1,4,6,1,7,1,1,2016,Not Religious,NA
1,32,2,1,2,2,1,4,4,4,2,4,5,2016,Evangelical,Hilary Clinton
4,37,4,2,1,1,2,2,6,1,1,3,3,2016,Mainline,Donald Trump
2,24,3,1,1,2,1,3,6,2,2,5,4,2016,Mainline,Donald Trump
NA,48,3,2,2,2,1,3,4,2,6,2,3,2016,Mainline,Donald Trump
1,5,4,2,1,1,1,2,4,4,6,4,4,2016,Mainline,Donald Trump
NA,48,3,2,2,2,1,2,6,2,4,3,3,2016,Other Religion,Donald Trump
1,36,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
1,54,2,2,1,2,2,3,4,4,2,5,4,2016,Not Religious,NA
2,6,3,2,2,1,2,2,6,4,6,3,1,2016,Evangelical,Donald Trump
1,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA
NA,26,3,2,2,2,1,3,4,4,2,4,4,2016,Other Christian,Donald Trump
NA,45,2,2,2,2,1,4,1,4,1,1,3,2016,Evangelical,Hilary Clinton
NA,39,2,2,1,2,1,4,4,4,4,4,4,2016,Not Religious,Hilary Clinton
2,34,1,1,1,2,1,5,4,4,4,4,4,2016,Not Religious,Hilary Clinton
NA,NA,3,2,2,1,2,1,4,1,4,4,4,2016,Evangelical,NA
NA,47,1,2,2,1,1,5,7,1,1,4,4,2016,Evangelical,Hilary Clinton
2,37,4,2,2,1,1,2,6,2,4,4,4,2016,Evangelical,Donald Trump
4,6,4,2,2,1,1,2,7,1,7,3,2,2016,Other Christian,Donald Trump
4,6,2,2,2,1,2,NA,7,1,NA,NA,NA,2016,Not Religious,Donald Trump
4,4,3,2,2,1,1,4,6,4,4,4,4,2016,Other Christian,Donald Trump
2,9,4,1,2,2,1,4,6,1,1,5,5,2016,Catholic,NA
1,42,4,2,2,2,1,4,4,4,2,3,4,2016,Other Christian,Hilary Clinton
NA,39,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
NA,39,3,2,2,1,2,4,6,1,4,4,3,2016,Other Christian,NA
NA,45,4,2,2,1,1,3,6,4,4,4,4,2016,Evangelical,Donald Trump
1,41,4,2,2,1,2,3,6,2,4,4,4,2016,Not Religious,Hilary Clinton
2,NA,2,2,2,1,1,4,5,2,2,4,4,2016,Other Christian,Donald Trump
NA,39,4,1,1,1,1,3,7,2,1,4,3,2016,Other Christian,NA
2,36,3,2,2,NA,2,1,6,1,4,2,2,2016,Catholic,NA
1,6,3,1,2,2,1,5,4,4,4,2,4,2016,Catholic,Jill Stein
4,23,3,1,2,2,1,3,6,4,4,5,4,2016,Catholic,Hilary Clinton
2,21,3,2,2,1,2,2,6,1,3,4,3,2016,Catholic,Gary Johnson
NA,17,3,2,2,1,1,5,4,4,2,4,4,2016,Other Christian,NA
NA,53,5,1,2,1,1,2,4,4,6,4,3,2016,Other Religion,NA
NA,48,5,2,1,2,1,5,6,4,2,5,5,2016,Other Christian,NA
NA,27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA
1,12,3,2,2,1,2,3,2,4,1,5,2,2016,Other Christian,Hilary Clinton
NA,NA,3,1,1,2,1,3,4,5,4,4,4,2016,Evangelical,NA
1,21,1,2,2,1,2,5,7,6,1,3,4,2016,Evangelical,Hilary Clinton
1,24,4,2,2,2,2,3,1,6,6,1,1,2016,Catholic,Hilary Clinton
2,12,2,1,1,2,1,2,6,4,4,NA,4,2016,NA,NA
NA,15,2,2,2,1,2,3,6,NA,4,4,4,2016,Catholic,NA
2,21,4,2,2,1,2,1,6,2,2,3,3,2016,Black Protestant,NA
NA,NA,2,2,2,2,2,1,7,2,6,2,2,2016,Evangelical,NA
NA,NA,3,1,2,2,1,5,7,1,4,5,4,2016,Not Religious,NA
1,19,3,1,1,2,1,4,4,4,1,4,4,2016,Not Religious,Hilary Clinton
4,41,3,1,1,2,1,4,7,4,1,5,4,2016,Catholic,Hilary Clinton
1,12,3,2,1,2,1,5,4,4,2,5,4,2016,Catholic,Hilary Clinton
1,41,3,1,1,2,1,5,4,5,1,5,5,2016,Not Religious,Hilary Clinton
1,34,3,2,2,1,2,2,7,2,1,4,4,2016,Catholic,Hilary Clinton
NA,47,3,2,2,1,2,2,4,4,4,4,4,2016,Catholic,Donald Trump
1,12,3,1,1,2,1,2,5,4,1,5,5,2016,Not Religious,Hilary Clinton
NA,47,2,2,2,1,1,2,6,3,1,4,4,2016,Evangelical,Donald Trump
2,11,3,1,1,2,1,3,4,4,2,5,5,2016,Mainline,Other
NA,28,2,2,2,1,1,3,4,1,1,4,3,2016,Mainline,NA
NA,51,3,1,2,2,1,3,4,1,1,5,5,2016,Mainline,Hilary Clinton
1,36,3,2,2,2,1,2,4,2,3,4,4,2016,Jewish,Donald Trump
2,37,3,2,2,1,1,3,4,4,4,4,4,2016,Other Christian,NA
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Religion,NA
1,41,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA
NA,NA,1,2,2,2,2,2,4,4,4,4,3,2016,Evangelical,NA
NA,NA,2,2,2,2,1,3,7,1,4,4,4,2016,Not Religious,NA
NA,27,3,2,1,2,1,5,6,2,1,5,5,2016,Not Religious,Jill Stein
NA,48,2,1,2,2,1,3,7,4,4,5,3,2016,Other Christian,Donald Trump
NA,1,3,2,2,1,1,4,6,2,6,3,2,2016,Evangelical,Donald Trump
1,4,2,2,2,2,1,3,6,6,5,3,3,2016,Catholic,Hilary Clinton
2,12,2,1,1,2,2,3,6,4,2,4,4,2016,Not Religious,Donald Trump
2,4,2,2,1,2,2,2,6,2,6,3,3,2016,Catholic,Donald Trump
NA,17,3,2,2,1,1,3,4,4,1,4,4,2016,Other Religion,Donald Trump
NA,55,3,2,2,2,2,3,4,4,2,2,4,2016,Not Religious,Donald Trump
2,6,4,2,2,1,1,2,7,4,2,2,3,2016,Other Christian,NA
NA,45,3,2,1,2,1,2,6,4,2,4,4,2016,Evangelical,Hilary Clinton
NA,NA,2,2,2,2,1,4,4,4,4,2,3,2016,Other Christian,NA
NA,55,4,2,2,1,2,2,5,1,5,4,4,2016,Catholic,Donald Trump
NA,NA,4,2,2,2,2,3,5,3,2,4,4,2016,Catholic,NA
1,6,4,2,1,1,1,1,7,1,7,1,2,2016,Evangelical,NA
2,12,4,2,1,2,1,3,5,4,2,5,3,2016,Mainline,Donald Trump
NA,27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA
1,6,3,1,1,2,1,3,4,4,1,5,5,2016,Not Religious,Hilary Clinton
4,25,3,2,1,2,1,5,6,2,4,4,4,2016,Not Religious,Donald Trump
NA,NA,3,2,2,1,2,1,7,1,4,4,4,2016,Other Religion,NA
2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA
NA,NA,4,2,2,1,2,5,7,1,4,3,3,2016,Other Christian,NA
2,42,3,2,2,1,1,3,4,4,7,4,3,2016,Mainline,Donald Trump
2,6,3,2,2,1,2,3,4,4,4,3,2,2016,Other Christian,NA
NA,50,4,2,2,2,1,3,4,4,4,3,3,2016,Not Religious,Donald Trump
NA,15,3,1,1,2,1,2,4,4,2,4,4,2016,Catholic,Hilary Clinton
2,40,2,1,2,2,1,3,4,4,4,5,5,2016,Not Religious,NA
2,8,4,2,1,2,1,5,4,4,3,4,5,2016,Not Religious,Hilary Clinton
1,6,3,2,2,2,2,3,7,2,2,4,4,2016,Not Religious,NA
2,36,3,2,2,2,1,3,6,4,1,5,4,2016,Mainline,Hilary Clinton
NA,27,3,1,2,1,1,2,4,3,4,4,4,2016,Other Christian,Donald Trump
NA,47,2,1,2,1,2,4,4,4,2,5,5,2016,Other Christian,Hilary Clinton
NA,26,4,2,1,2,2,3,4,4,4,4,4,2016,Catholic,Donald Trump
1,NA,2,2,1,2,1,2,6,4,4,3,4,2016,Evangelical,NA
NA,26,2,1,2,2,1,3,4,1,4,5,4,2016,Other Christian,Gary Johnson
NA,38,5,2,2,2,1,3,6,4,7,5,1,2016,Not Religious,Gary Johnson
4,6,3,1,1,2,1,3,4,4,4,5,4,2016,Mainline,NA
NA,53,3,2,2,1,2,3,7,1,4,1,3,2016,Evangelical,NA
1,NA,3,1,1,2,1,4,7,NA,4,4,4,2016,Not Religious,Hilary Clinton
NA,48,3,2,2,1,2,5,7,4,6,1,3,2016,Other Christian,NA
1,12,2,2,2,1,2,4,7,1,1,2,2,2016,Evangelical,Hilary Clinton
2,54,1,2,2,1,1,1,7,4,2,1,3,2016,Other Christian,Donald Trump
NA,26,3,2,2,2,1,3,4,4,4,4,4,2016,Catholic,NA
1,36,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA
1,6,2,2,1,2,1,4,4,4,2,4,4,2016,Catholic,Hilary Clinton
2,16,4,2,2,2,2,2,6,2,4,3,3,2016,Evangelical,Donald Trump
1,42,3,2,1,2,1,2,7,1,1,4,4,2016,Not Religious,Hilary Clinton
2,6,5,2,2,1,1,2,7,2,4,5,5,2016,Other Religion,NA
NA,NA,2,2,2,2,2,5,7,7,1,2,2,2016,Catholic,NA
NA,26,3,1,2,1,2,2,4,4,2,5,5,2016,Other Christian,Donald Trump
NA,27,2,1,1,2,1,4,4,4,2,4,4,2016,Mainline,Hilary Clinton
2,6,3,2,2,2,1,4,4,4,4,5,5,2016,Other Christian,Hilary Clinton
2,12,2,1,1,2,2,4,4,4,4,4,4,2016,Evangelical,NA
NA,39,3,2,2,1,1,4,4,4,4,4,4,2016,Mainline,Hilary Clinton
1,42,3,2,2,1,2,1,5,3,2,3,4,2016,Other Religion,NA
2,56,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA
NA,27,3,2,2,2,1,2,6,2,4,4,4,2016,Catholic,Donald Trump
2,36,3,2,1,2,1,2,4,4,4,5,5,2016,Catholic,Donald Trump
NA,1,4,2,2,1,1,3,6,4,4,3,2,2016,Other Christian,Donald Trump
NA,55,4,2,1,2,1,3,4,3,2,4,4,2016,Not Religious,NA
NA,17,3,1,1,1,2,4,6,6,1,5,5,2016,Not Religious,NA
1,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA
1,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA
NA,NA,3,2,2,1,2,4,7,4,2,4,2,2016,Mainline,NA
1,4,3,1,1,2,1,3,4,4,4,5,5,2016,Other Religion,Hilary Clinton
NA,NA,5,2,2,2,1,5,4,4,4,5,5,2016,Mainline,NA
2,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
NA,28,1,2,2,1,1,3,6,3,3,5,4,2016,Evangelical,NA
NA,51,1,1,1,2,1,4,4,4,1,5,5,2016,Not Religious,Hilary Clinton
4,33,4,2,2,2,1,4,6,3,2,4,4,2016,Not Religious,Gary Johnson
NA,NA,3,2,2,1,1,4,6,6,2,4,3,2016,Other Christian,NA
NA,NA,4,2,1,2,1,3,6,1,4,4,4,2016,Evangelical,NA
1,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA
4,6,5,2,2,1,1,5,4,2,1,5,2,2016,Catholic,Hilary Clinton
NA,48,3,2,2,1,1,1,6,1,4,4,4,2016,Evangelical,Donald Trump
2,12,3,1,1,2,2,2,4,4,6,4,4,2016,Other Christian,Donald Trump
1,37,2,1,2,2,2,4,7,1,1,5,4,2016,Not Religious,NA
1,42,3,1,1,2,1,3,4,1,1,5,5,2016,Other Religion,Hilary Clinton
NA,48,2,2,2,1,1,2,7,7,1,4,4,2016,Catholic,Hilary Clinton
NA,NA,2,2,2,1,1,1,7,2,2,5,5,2016,Evangelical,NA
4,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA
2,32,3,1,2,1,1,3,4,3,4,4,3,2016,Mainline,Donald Trump
NA,48,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA
NA,13,3,2,2,1,2,4,7,1,6,5,4,2016,Other Christian,Donald Trump
1,36,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Jewish,NA
NA,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA
4,36,3,2,1,1,1,3,4,1,2,3,3,2016,Other Religion,Hilary Clinton
4,37,3,2,2,2,1,3,7,1,5,2,2,2016,Mainline,Donald Trump
NA,26,2,2,2,1,1,4,4,1,4,5,5,2016,Other Christian,Donald Trump
4,NA,2,1,1,2,1,4,7,4,2,5,5,2016,Other Religion,Hilary Clinton
NA,53,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA
NA,48,3,1,2,2,1,2,5,4,7,3,4,2016,Not Religious,Gary Johnson
NA,NA,2,2,2,1,1,5,4,4,4,5,4,2016,Catholic,NA
1,12,4,2,2,1,1,3,6,1,4,5,5,2016,Not Religious,Hilary Clinton
1,6,3,1,1,2,1,3,4,4,4,4,4,2016,Catholic,Hilary Clinton
NA,17,4,1,2,1,2,5,7,1,4,5,5,2016,Catholic,NA
4,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
NA,48,4,2,2,2,1,2,6,1,6,3,2,2016,Catholic,Donald Trump
1,42,3,2,2,2,1,3,4,4,4,4,4,2016,Mainline,NA
NA,17,4,2,2,2,1,3,7,4,2,4,3,2016,Black Protestant,RF
1,31,4,2,2,1,2,5,6,2,2,5,4,2016,Catholic,Hilary Clinton
NA,18,2,1,1,2,1,4,6,1,1,4,4,2016,Catholic,Hilary Clinton
NA,55,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
4,22,3,2,1,1,2,3,5,2,2,4,4,2016,Evangelical,Donald Trump
NA,53,4,1,1,2,1,4,6,4,1,5,4,2016,Not Religious,Hilary Clinton
NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA
1,34,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
NA,48,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Religion,NA
1,42,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
NA,53,3,1,1,2,1,4,5,4,3,3,3,2016,Not Religious,Gary Johnson
NA,53,3,1,1,2,1,2,7,4,4,5,5,2016,Not Religious,Hilary Clinton
4,12,4,2,1,2,1,5,4,6,3,4,4,2016,Catholic,NA
1,21,2,1,1,NA,1,2,6,4,4,4,4,2016,Mainline,Hilary Clinton
NA,29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA
1,42,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
NA,55,4,2,2,1,2,2,7,4,2,3,3,2016,Other Christian,Donald Trump
4,31,1,2,1,2,1,2,4,4,4,4,4,2016,Catholic,Donald Trump
NA,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA
2,4,3,2,2,1,1,3,6,4,7,2,2,2016,Other Christian,Donald Trump
2,6,3,1,1,2,1,3,5,1,5,NA,NA,2016,Not Religious,Donald Trump
4,40,2,2,2,2,1,2,7,4,1,NA,NA,2016,Catholic,Gary Johnson
NA,18,3,2,2,1,1,2,4,4,7,3,4,2016,Other Christian,NA
NA,48,3,2,2,2,1,4,6,4,5,2,2,2016,Catholic,Donald Trump
1,6,3,2,2,1,1,5,5,4,1,5,5,2016,Black Protestant,Hilary Clinton
NA,48,2,2,1,2,1,3,6,7,1,5,5,2016,Other Christian,Hilary Clinton
2,12,3,2,2,1,2,2,4,4,4,4,4,2016,Other Christian,Hilary Clinton
1,42,2,2,2,1,2,3,6,4,3,5,4,2016,Catholic,Hilary Clinton
NA,39,1,2,2,1,2,5,6,1,4,4,4,2016,Catholic,NA
NA,NA,4,1,1,2,1,5,4,4,4,4,4,2016,Not Religious,NA
NA,13,2,2,2,1,1,5,7,1,1,4,4,2016,Evangelical,NA
NA,17,2,1,2,2,1,4,4,4,4,5,5,2016,Catholic,Hilary Clinton
4,9,4,2,1,2,1,4,4,4,6,4,4,2016,Catholic,Donald Trump
NA,18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA
NA,27,5,2,1,2,1,2,4,4,6,4,4,2016,Mainline,Donald Trump
NA,45,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
NA,NA,4,2,1,2,1,3,6,4,4,4,3,2016,Mainline,NA
4,36,3,1,1,2,2,1,4,4,4,2,3,2016,Other Christian,Donald Trump
1,4,2,1,1,2,1,5,4,4,4,4,5,2016,Jewish,Hilary Clinton
2,37,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Religion,NA
NA,29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA
NA,NA,5,2,1,1,2,3,7,4,4,3,3,2016,Evangelical,NA
1,37,2,1,1,2,2,3,4,4,1,5,5,2016,Evangelical,Hilary Clinton
2,35,5,1,2,2,1,3,4,4,7,4,2,2016,Not Religious,NA
2,49,4,2,2,1,1,3,6,2,4,4,4,2016,Other Religion,Other
4,5,4,2,2,1,1,3,4,2,4,5,4,2016,Evangelical,Donald Trump
NA,NA,NA,2,2,1,2,3,4,4,4,3,4,2016,Mainline,NA
NA,39,4,2,2,1,1,2,7,2,6,3,2,2016,Catholic,Donald Trump
NA,39,4,2,2,1,1,3,7,4,4,5,3,2016,Catholic,Hilary Clinton
NA,48,3,2,2,2,1,3,7,4,6,2,1,2016,Not Religious,Donald Trump
1,35,3,2,2,2,1,2,7,4,4,4,5,2016,Not Religious,Hilary Clinton
NA,26,3,2,2,2,1,1,4,4,2,4,4,2016,Evangelical,Donald Trump
1,37,3,2,2,1,2,4,7,1,1,4,4,2016,Black Protestant,Hilary Clinton
1,21,3,NA,1,2,1,3,4,4,4,5,4,2016,Evangelical,Hilary Clinton
2,35,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA
2,35,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
4,12,4,1,2,1,1,4,4,4,4,4,4,2016,Catholic,Donald Trump
1,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA
NA,50,3,1,1,2,1,5,2,6,1,4,3,2016,Other Religion,Other
NA,30,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA
NA,26,4,2,2,2,1,1,5,3,7,2,2,2016,Not Religious,NA
NA,39,5,2,2,1,2,5,7,1,6,2,3,2016,Not Religious,Donald Trump
1,6,2,2,2,2,2,3,7,1,4,3,5,2016,Catholic,Hilary Clinton
1,21,2,2,2,2,2,4,7,4,1,5,2,2016,Catholic,Gary Johnson
NA,39,3,2,1,1,1,3,6,4,2,5,4,2016,Other Christian,Donald Trump
NA,39,4,1,1,1,1,3,4,4,4,4,4,2016,Catholic,Donald Trump
4,24,3,2,1,2,1,3,6,7,7,1,3,2016,Catholic,Donald Trump
NA,51,3,2,1,2,1,4,4,4,5,4,4,2016,Catholic,Donald Trump
NA,48,3,1,1,2,1,3,7,2,4,4,4,2016,Not Religious,NA
NA,48,3,2,2,1,1,2,5,1,2,4,4,2016,Other Religion,NA
1,34,3,1,1,2,2,4,5,2,5,3,3,2016,Not Religious,Hilary Clinton
1,54,3,2,2,1,1,2,6,4,4,4,4,2016,Evangelical,Donald Trump
4,25,3,2,1,2,1,4,5,4,4,4,4,2016,Catholic,Hilary Clinton
NA,48,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA
NA,26,4,2,2,2,1,2,4,4,4,3,3,2016,Not Religious,Donald Trump
NA,48,4,2,2,2,1,1,7,1,4,2,3,2016,Catholic,Donald Trump
1,42,3,2,2,1,1,2,6,1,1,5,4,2016,Not Religious,NA
NA,26,3,1,2,2,1,2,4,4,3,2,5,2016,Catholic,Jill Stein
2,6,3,2,2,1,1,1,7,1,2,4,4,2016,Catholic,Donald Trump
2,32,3,2,1,2,1,1,6,1,4,2,4,2016,Catholic,Donald Trump
1,34,4,1,1,2,1,2,5,4,4,5,3,2016,Not Religious,Hilary Clinton
1,37,3,1,2,1,1,3,6,2,4,3,3,2016,Evangelical,NA
1,6,4,2,1,2,1,4,4,4,1,5,5,2016,Catholic,NA
NA,53,2,1,1,2,1,3,6,2,1,4,4,2016,Other Christian,Hilary Clinton
1,6,2,1,1,2,1,3,6,4,2,4,4,2016,Other Christian,Hilary Clinton
4,25,3,2,2,1,1,5,6,4,2,5,4,2016,Evangelical,NA
4,6,2,1,2,2,1,4,6,3,4,4,4,2016,Not Religious,Hilary Clinton
NA,NA,4,2,2,2,1,4,7,2,4,3,4,2016,Not Religious,NA
4,6,3,1,2,2,1,2,4,2,4,4,4,2016,Other Religion,Donald Trump
NA,53,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Religion,NA
2,34,3,2,2,2,1,4,6,4,4,4,4,2016,Catholic,Donald Trump
NA,NA,3,2,1,2,1,3,6,3,4,4,4,2016,Evangelical,NA
1,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA
1,22,3,2,1,2,1,2,4,4,4,5,4,2016,Mainline,Hilary Clinton
NA,NA,3,2,2,2,2,3,4,6,6,4,4,2016,Evangelical,NA
1,25,3,2,2,1,1,3,4,2,2,2,4,2016,Catholic,Hilary Clinton
NA,29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA
2,6,4,1,2,2,2,1,6,2,2,4,3,2016,NA,NA
1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA
NA,45,3,2,2,1,2,2,6,2,4,2,4,2016,Evangelical,Hilary Clinton
NA,48,3,1,2,1,1,4,7,5,2,4,4,2016,Not Religious,NA
NA,NA,5,2,2,1,2,1,7,1,1,1,1,2016,Evangelical,NA
2,8,3,2,2,2,2,5,7,1,4,5,5,2016,Catholic,Donald Trump
1,42,5,2,2,1,2,3,7,1,1,5,5,2016,Other Christian,Hilary Clinton
2,16,3,2,2,1,2,3,7,1,4,4,4,2016,Other Religion,Donald Trump
NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA
NA,48,3,2,1,2,1,2,6,4,4,4,4,2016,Other Christian,Donald Trump
2,56,3,NA,NA,NA,1,4,4,NA,NA,NA,NA,2016,Not Religious,Gary Johnson
NA,53,5,2,1,2,1,2,7,1,7,2,2,2016,Not Religious,Donald Trump
1,NA,4,1,1,2,1,4,4,4,4,4,5,2016,Not Religious,Hilary Clinton
4,24,3,2,2,2,1,3,7,1,7,2,2,2016,Not Religious,Donald Trump
NA,53,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA
