party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President
NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA
NA,26,3,NA,2,2,1,1,5,3,3,4,4,4,4,4,4,2020,Roman Catholic,NA
NA,NA,3,NA,2,2,1,2,4,3,4,4,4,7,4,3,3,2020,Mainline,NA
NA,47,4,NA,2,2,2,1,5,3,4,4,4,7,2,2,2,2020,Evangelical,NA
1,41,1,NA,1,2,2,1,5,4,4,5,4,4,4,4,4,2020,Roman Catholic,Biden
NA,55,3,NA,2,2,1,2,3,1,6,6,6,4,4,5,4,2020,Evangelical,Trump
1,4,3,NA,1,1,2,1,4,2,4,4,4,4,4,4,4,2020,Mainline,Biden
4,6,5,NA,1,2,1,1,1,5,1,1,6,6,6,1,3,2020,Not Religious,NA
4,42,3,NA,2,2,1,2,3,3,4,4,4,4,2,5,5,2020,Not Religious,Biden
NA,29,3,NA,2,2,2,1,4,2,6,6,7,4,4,4,4,2020,Roman Catholic,Trump
NA,13,3,NA,2,2,1,1,4,2,4,6,6,7,4,2,3,2020,Roman Catholic,Trump
2,24,1,NA,2,2,2,2,3,1,6,6,7,4,4,4,3,2020,Roman Catholic,Trump
1,41,2,NA,1,1,2,1,5,5,7,7,7,6,4,4,4,2020,Not Religious,Biden
4,33,2,NA,NA,NA,NA,1,3,NA,NA,7,7,6,4,5,5,2020,Other Christian,Biden
NA,39,2,NA,1,2,2,1,5,3,4,6,5,7,4,5,4,2020,Other Christian,Biden
NA,17,3,NA,2,2,2,1,4,1,6,7,7,4,4,2,3,2020,Undifferentiated Protestant,Trump
2,4,5,NA,2,2,1,1,3,1,4,4,6,7,1,4,4,2020,Other Christian,Biden
1,36,3,NA,1,1,2,1,3,3,6,6,5,4,4,5,5,2020,Not Religious,Other
4,22,3,NA,2,1,1,1,3,2,4,4,4,4,4,4,3,2020,Roman Catholic,Trump
NA,27,2,NA,2,1,1,1,3,2,4,4,4,4,4,5,5,2020,Not Religious,Biden
NA,17,4,NA,2,2,2,1,3,2,7,5,6,6,4,5,5,2020,Roman Catholic,Trump
4,37,1,NA,1,1,2,1,5,3,1,2,3,4,4,5,5,2020,Not Religious,Biden
1,34,3,NA,1,2,1,2,4,4,5,5,5,7,4,4,4,2020,Other Christian,Biden
1,33,2,NA,2,1,2,2,4,4,4,4,4,6,5,2,3,2020,Not Religious,NA
4,25,1,NA,1,1,2,1,5,3,1,1,3,7,4,5,5,2020,Other Christian,Biden
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA
1,NA,3,NA,2,2,1,1,4,4,4,4,4,5,4,5,4,2020,Roman Catholic,Biden
NA,26,2,NA,2,1,2,1,4,3,6,4,4,4,4,4,4,2020,Mainline,Biden
2,5,3,NA,2,1,2,2,2,2,4,5,6,7,4,4,4,2020,Mainline,Trump
NA,51,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Roman Catholic,NA
1,37,3,NA,2,2,1,1,2,2,NA,6,7,4,2,2,2,2020,Evangelical,Trump
1,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA
NA,45,3,NA,1,1,2,1,3,1,6,4,6,6,2,4,4,2020,Evangelical,Trump
4,12,4,NA,2,1,1,1,3,2,4,5,6,4,4,3,4,2020,Mainline,NA
NA,17,3,NA,2,2,1,1,4,3,4,6,4,6,2,4,5,2020,Other Christian,Trump
NA,47,3,NA,2,1,2,1,4,4,6,6,4,4,4,4,5,2020,Not Religious,Biden
2,22,5,NA,2,2,1,1,4,2,7,6,4,4,4,2,4,2020,Undifferentiated Protestant,Trump
NA,NA,1,NA,2,2,1,2,3,1,4,4,5,6,4,4,4,2020,Roman Catholic,NA
2,21,3,NA,2,2,2,1,5,1,6,4,4,7,1,4,3,2020,Evangelical,Trump
1,36,3,NA,2,NA,NA,1,3,2,4,4,6,6,2,4,2,2020,Jewish,Trump
1,20,3,1,2,2,1,2,1,1,5,6,4,1,3,5,4,2020,Other Religion,NA
1,37,3,NA,1,1,2,1,3,3,5,6,4,4,4,5,5,2020,Evangelical,Biden
1,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA
1,4,3,NA,1,1,2,1,5,2,4,2,4,4,4,4,4,2020,Other Religion,Biden
NA,29,3,NA,2,2,1,1,3,1,6,6,7,7,1,3,2,2020,Mainline,Trump
1,21,4,2,1,1,2,1,2,2,4,1,2,4,4,5,5,2020,Evangelical,NA
NA,51,3,NA,1,1,2,1,3,2,4,4,4,4,4,3,3,2020,Not Religious,Jorgensen
NA,29,3,NA,2,2,1,2,3,4,4,6,4,6,4,5,5,2020,Roman Catholic,Biden
2,23,3,NA,1,1,2,1,1,1,6,6,6,5,4,4,4,2020,Other Christian,Trump
1,6,1,2,1,1,2,1,4,4,4,1,4,6,4,4,4,2020,Jewish,NA
1,25,2,NA,1,1,2,1,5,2,4,2,6,6,4,5,5,2020,Roman Catholic,Biden
NA,48,4,NA,2,2,1,1,4,5,6,6,6,7,6,5,4,2020,Other Christian,NA
NA,17,2,NA,1,1,2,1,4,3,4,4,6,6,4,4,4,2020,Not Religious,Biden
2,4,4,NA,1,1,2,1,3,2,4,4,4,4,4,4,4,2020,Mainline,Biden
NA,47,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA
NA,39,4,NA,1,1,2,1,5,2,4,6,6,4,4,5,4,2020,Mainline,NA
2,21,2,NA,1,2,2,2,3,1,7,7,7,7,6,1,1,2020,Evangelical,Trump
