state,party,finance.better,child.indep,child.curio,child.obed,child.consid,year,Religion,President
17,2,NA,3,5,1,5,2000,Protestant,NA
26,1,3,3,3,3,3,2000,NA,Al Gore
12,1,3,5,5,1,5,2000,NA,Al Gore
46,1,3,5,5,1,5,2000,Protestant,Al Gore
46,2,5,5,5,5,3,2000,NA,George W. Bush
48,5,NA,NA,NA,NA,NA,2000,NA,NA
12,1,NA,3,3,3,3,2000,NA,Al Gore
12,3,NA,3,3,3,3,2000,NA,NA
47,2,NA,3,3,3,3,2000,NA,George W. Bush
12,1,2,5,3,3,3,2000,NA,Al Gore
12,2,NA,5,5,3,3,2000,NA,NA
19,3,3,5,1,1,1,2000,Catholic,George W. Bush
42,2,NA,3,3,3,3,2000,NA,George W. Bush
34,5,3,3,3,3,3,2000,NA,NA
48,1,NA,1,1,5,1,2000,NA,Al Gore
17,1,NA,3,3,3,3,2000,NA,Al Gore
19,1,3,5,5,1,3,2000,NA,Al Gore
47,2,3,5,5,1,1,2000,Protestant,NA
12,1,NA,NA,NA,NA,NA,2000,NA,NA
12,1,NA,5,5,1,5,2000,NA,Al Gore
48,1,NA,NA,NA,NA,NA,2000,NA,NA
6,2,NA,NA,NA,NA,NA,2000,NA,NA
25,1,NA,5,5,1,1,2000,NA,Al Gore
5,2,NA,5,5,3,1,2000,NA,George W. Bush
13,2,NA,1,1,1,5,2000,NA,George W. Bush
6,1,3,1,1,5,1,2000,NA,Al Gore
29,1,NA,1,5,5,1,2000,NA,Al Gore
41,3,4,5,5,1,1,2000,NA,NA
12,3,3,5,5,1,1,2000,NA,NA
38,1,2,5,3,3,5,2000,Protestant,Al Gore
53,2,NA,5,5,5,5,2000,NA,NA
34,3,2,1,1,5,1,2000,NA,NA
41,3,NA,5,5,1,1,2000,NA,George W. Bush
48,1,3,5,5,1,5,2000,NA,Al Gore
42,2,NA,5,5,1,1,2000,NA,George W. Bush
6,1,1,3,1,5,1,2000,NA,Al Gore
18,1,1,5,5,5,1,2000,NA,Al Gore
26,1,NA,5,1,1,3,2000,NA,Al Gore
39,3,NA,3,5,3,3,2000,NA,NA
6,3,3,NA,1,5,5,2000,NA,NA
39,2,NA,5,5,1,1,2000,NA,George W. Bush
27,2,NA,3,3,5,3,2000,NA,George W. Bush
8,4,NA,5,5,1,5,2000,NA,NA
27,3,3,NA,5,NA,5,2000,Catholic,Al Gore
8,1,NA,5,5,1,1,2000,NA,Al Gore
55,2,3,5,1,1,5,2000,NA,NA
6,1,NA,NA,NA,NA,NA,2000,NA,NA
20,5,3,5,5,1,5,2000,NA,NA
39,1,NA,1,1,5,1,2000,NA,Al Gore
34,3,NA,5,1,5,1,2000,NA,Ralph Nader
39,2,NA,5,1,1,1,2000,Protestant,NA
56,2,3,1,1,5,1,2000,NA,George W. Bush
47,1,4,5,5,NA,5,2000,NA,NA
20,2,3,5,5,1,5,2000,NA,George W. Bush
47,5,NA,5,5,5,1,2000,Other Religion,NA
6,3,3,1,1,5,1,2000,NA,Al Gore
36,2,3,5,5,1,1,2000,Catholic,George W. Bush
12,2,NA,5,1,5,1,2000,Protestant,George W. Bush
36,1,2,3,5,5,1,2000,NA,Al Gore
4,2,NA,5,1,5,1,2000,NA,Al Gore
37,5,NA,5,5,1,1,2000,Other Religion,George W. Bush
51,5,NA,1,3,5,3,2000,NA,Al Gore
13,2,4,5,NA,1,NA,2000,NA,George W. Bush
12,2,1,5,5,5,1,2000,NA,George W. Bush
41,2,3,5,1,5,1,2000,NA,George W. Bush
34,3,NA,5,5,1,5,2000,Catholic,Al Gore
34,2,3,1,5,5,1,2000,NA,George W. Bush
27,5,NA,5,1,5,5,2000,NA,Al Gore
34,3,NA,5,1,5,1,2000,NA,Al Gore
4,3,1,5,1,5,1,2000,NA,NA
12,2,NA,5,5,1,5,2000,NA,George W. Bush
48,5,NA,5,5,1,5,2000,NA,George W. Bush
6,1,NA,5,5,1,1,2000,NA,Al Gore
36,1,NA,5,1,1,1,2000,NA,Al Gore
27,2,3,5,5,1,1,2000,NA,George W. Bush
42,2,3,3,3,3,5,2000,NA,George W. Bush
53,5,3,5,3,3,3,2000,NA,NA
12,3,NA,5,5,5,1,2000,NA,NA
51,1,NA,1,1,5,1,2000,NA,Al Gore
6,3,5,5,5,1,3,2000,NA,Al Gore
53,3,NA,NA,NA,NA,NA,2000,NA,NA
49,5,NA,5,5,1,1,2000,Other Religion,NA
20,2,1,5,1,5,1,2000,NA,George W. Bush
13,2,NA,5,5,1,1,2000,NA,NA
12,4,NA,1,1,5,1,2000,NA,Harry Brown
5,3,NA,5,5,1,1,2000,NA,George W. Bush
48,4,NA,1,1,5,1,2000,NA,George W. Bush
51,3,NA,5,5,1,5,2000,NA,NA
6,1,2,5,5,1,5,2000,NA,NA
22,1,NA,5,5,1,5,2000,NA,Al Gore
8,3,NA,5,1,1,5,2000,NA,Al Gore
4,1,NA,5,1,5,1,2000,Protestant,Al Gore
34,1,2,5,5,5,1,2000,Protestant,Al Gore
26,2,4,5,5,5,5,2000,Protestant,George W. Bush
6,3,NA,5,5,5,1,2000,Protestant,George W. Bush
8,5,3,5,3,1,3,2000,NA,George W. Bush
48,1,2,5,5,1,1,2000,NA,Al Gore
42,3,2,1,5,1,1,2000,Catholic,NA
53,3,NA,5,5,1,5,2000,NA,George W. Bush
